DISTRICT,total_pop,total_pop_log,turnout2018_registered,election2018_closeness,pop_perc_one_race,pop_perc_two_races,pop_perc_three_or_more_races,pop_perc_white,pop_perc_black,pop_perc_am_indian,pop_perc_asian,pop_perc_pac_islander,c_pop_perc_urban,c_pop_perc_change,c_pop_perc_migration,c_gini_index,c_perc_hs_grad,c_perc_uni_grad,c_perc_owner_occupied_house,total2020_voted,turnout2020_registered,predicted_turnout
1,1420.2161172161173,6.940166339729071,0.6447622361884054,645.3677655677656,0.950075829603992,0.04992417039600803,0.002574588740124148,0.9106972855098524,0.005792753748896015,0.023166843903239646,0.004295681032568053,0.0003076850781166901,0.0,-0.0023538515291093728,0.1238428419578828,0.43813040293040295,0.3017036149797287,0.23642076205398416,0.505924290778005,805.0604395604396,0.729577701460211,0.7281024653357557
2,1829.513002364066,7.345065317122039,0.5686076416432085,712.836170212766,0.9480609579420035,0.0519390420579964,0.002491972100417235,0.9113912105115816,0.01120775881426033,0.007649060101406674,0.004281900200651316,0.0002779827077406787,0.16534732356097911,0.001529529297892287,0.12792089764235212,0.4418044917257683,0.30949458830034615,0.20398690750843546,0.585760871135759,943.2293144208038,0.7093078985248986,0.7181133127451269
3,2650.764505119454,7.832265605273992,0.6105047348356559,1085.1733788395904,0.9263123183777192,0.07368768162228068,0.004429970829952614,0.7357458402824153,0.10921876298757302,0.006036234047415701,0.02918532701727423,0.00031049743336036996,0.7968260643354372,0.006785166116022883,0.10596547795749273,0.4496883959044369,0.22345835573219197,0.32924280392559774,0.6693954017212301,1407.6075085324233,0.7613244925353462,0.7488559448111858
4,2537.173202614379,7.764576049670482,0.593257487396677,1034.5450980392156,0.9276044908904842,0.0723955091095157,0.003965954357345576,0.7908298014805425,0.07399344870869885,0.006079044166729605,0.020825074258220434,0.00039780834572867646,0.5867588239089985,0.004171408792766767,0.1271319254853579,0.44566503267973856,0.2372223624531441,0.31777728732436955,0.640076030548972,1352.1764705882354,0.7390946934650882,0.7408115981975685
5,2371.9816513761466,7.700268450143147,0.52640441136696,859.5324159021407,0.9352353534069963,0.0647646465930037,0.003067266741111292,0.8526389917995881,0.04850027990895489,0.005080558281647624,0.010088694294217685,0.00020573228181983578,0.3470164426579434,-0.001131446009654531,0.10732893158854757,0.43374403669724776,0.3020836876382995,0.2017445688040299,0.658002243661731,1173.394495412844,0.6892519312654019,0.7004037238854846
6,2494.122580645161,7.781823920414856,0.6308267664131264,1124.4093548387098,0.9267990386704705,0.0732009613295294,0.0045640876914280135,0.7344743515446764,0.09120016824825915,0.003230830490782094,0.0820241027356619,0.00034461022752969644,0.895496051319923,0.00016335205110060703,0.13033040016395434,0.4907032258064516,0.19014602789665896,0.39283023890344426,0.5465274437767409,1431.2774193548387,0.7767077724717287,0.771493186894903
7,2368.3730886850153,7.707314333166289,0.6750812266211534,1046.6929663608562,0.9320020577198498,0.0679979422801501,0.0036764841889160333,0.8254524760772514,0.05753405872122833,0.004293560623151145,0.027040443916041018,0.0003685356245403982,0.5555641766255335,0.00398957271310518,0.14444117418403507,0.4321302752293578,0.2310782091018076,0.32587161151038224,0.6681295556726748,1333.7645259938838,0.7708421601201695,0.7560671062583648
8,2002.0413436692506,7.482670269478836,0.5491000621129365,822.009819121447,0.9350752480999457,0.06492475190005428,0.0033391131690800042,0.7287367748536744,0.17566620573270827,0.00422529013891073,0.010434160938861839,0.00036471077150878787,0.7020867539962893,-0.004173832051520141,0.08942594627105308,0.4595428940568475,0.2862913197128378,0.21256278925081082,0.6427805300866103,1056.9509043927649,0.6788205919742618,0.6813442623951875
9,2228.3045977011493,7.55596939036434,0.7391410918248025,954.8448275862069,0.945003825196037,0.054996174803962974,0.002521648314906007,0.8908889821197864,0.024723331316694342,0.003112862125285734,0.013847002841544487,0.00038165458245155117,0.6216216529621619,-0.0003231736400282897,0.09070407353103685,0.4338074712643678,0.28165107123271477,0.24633800939889988,0.6743942899776582,1313.7988505747126,0.7711638227767458,0.7685223036092178
10,2493.961414790997,7.751752256071608,0.6108321400290608,1072.2234726688102,0.9430416054766098,0.0569583945233902,0.0031705185545235796,0.7296416735255496,0.1348278643019212,0.002343754043484448,0.06603232864733151,0.00021988010912684533,0.9549449551161044,0.0018653250323004715,0.09434183993826771,0.44416848874598075,0.22143884616239196,0.3478739195190863,0.680673452180163,1404.742765273312,0.7738012242473782,0.7767326166570863
11,2600.6208053691275,7.807226431448494,0.6398751785743544,1186.2127516778523,0.9396037527739846,0.06039624722601543,0.0037429251429534575,0.6627160994384015,0.1805647534981297,0.00266696610670662,0.0737000668109563,0.00026948334902641204,0.9427776326929826,0.0018688382002657,0.1064096681655142,0.46869999999999995,0.1648851474220368,0.4724222630345688,0.663991314368717,1517.0302013422818,0.7965403276320648,0.7925366254839148
12,1828.4764150943397,7.415198122798975,0.4894934611917157,644.5301886792453,0.9500131441690038,0.04998685583099611,0.004301105410294605,0.38653233294557887,0.5328667730767325,0.003036556297992477,0.013132894545275272,0.00017611756493832759,0.9930439902800421,-0.0023234520704786,0.075149419649132,0.4978,0.2514955773550426,0.2393482150788715,0.5191338016591789,853.2264150943396,0.6230722065119482,0.6098955698447147
13,1697.0459518599562,7.198174445558013,0.43811498534469917,536.7763676148796,0.9420540915051362,0.05794590849486377,0.004953515884365559,0.30104691675780093,0.5697199699036929,0.004440376870007561,0.029701480815628283,0.00038008819874038336,0.9886889345481089,-0.001801115260289985,0.07714956545392954,0.4903105032822757,0.2495915104037094,0.24882142935087068,0.5398262508718519,719.0940919037199,0.5695387972874868,0.588840658696099
