DISTRICT,total_pop,total_pop_log,turnout2018_registered,2020_vote_share_diff,pop_perc_one_race,pop_perc_two_races,pop_perc_three_or_more_races,pop_perc_white,pop_perc_black,pop_perc_am_indian,pop_perc_asian,pop_perc_pac_islander,c_pop_pct_urban,c_pop_perc_change,c_pop_perc_migration,c_gini_index,c_perc_owner_occupied_house,c_perc_hs_grad,c_perc_uni_grad,total2020_voted,turnout2020_registered,pop_white_alone,c_tot_hs_grad,tot_turnout2018,tot_urban_pop,predicted_turnout
1,1438.0092764378478,6.956286573044439,0.644442492000181,207.69888682745824,0.9499922195861121,0.050007780413887815,0.0025325779593513196,0.9105092127003512,0.005861759757000236,0.023450566781380005,0.004285723601547625,0.00031794285859103674,0.0,-0.002457226815276067,0.1232911144472539,0.43939573283858996,0.504479003927383,0.3004715066437861,0.23733545916761595,814.3636363636364,0.7279346037143339,1293.7903525046381,5970.808905380334,673.7591836734695,0.0,0.7270363667923119
2,1854.6315789473683,7.359510560324763,0.5709663302417269,270.9607655502393,0.9440586121058244,0.055941387894175486,0.002789149839621095,0.8822209498500266,0.03177532561351299,0.008021081285408842,0.007475027863875756,0.00034482623529247415,0.2068978228377285,0.001544476867298125,0.13031104737608984,0.4434854066985646,0.5910688402419706,0.305427270966991,0.21072694954335083,952.3708133971292,0.7064596819883003,1597.7272727272727,13355.672248803829,754.0387559808613,27107.997607655503,0.7102808396260476
3,2602.718120805369,7.8151694347876495,0.6125998448345604,382.71510067114093,0.9290916398820123,0.07090836011798764,0.004093512068086767,0.7714893829977966,0.0796678346174609,0.005597894009944431,0.027823631454831875,0.00028860760637942955,0.6954328680477886,0.007457851646799754,0.10329508632305821,0.44834060402684567,0.670511257345213,0.22706790745144806,0.3330489462196796,1402.1140939597315,0.7699649506431854,1973.1912751677853,78267.47651006712,1105.2607382550336,417810.38255033555,0.7588963403472522
4,2592.936454849498,7.786017284664747,0.5991867763871281,380.5033444816053,0.9283448449133079,0.07165515508669211,0.003917067670345274,0.7912552145433063,0.07316881330995369,0.00587403893464451,0.021336784727793507,0.00041319492452594183,0.5939212456104329,0.004554334551870588,0.12731849885986737,0.44121638795986623,0.6536859732578182,0.241069630351403,0.31478759987385935,1384.9598662207359,0.744920446189896,2044.7692307692307,32045.571906354515,1096.6712374581941,140875.97993311036,0.7441198262199422
5,2341.0785498489427,7.693603545126706,0.5402565352861839,320.7652567975831,0.9369302597220834,0.06306974027791651,0.002975635031372334,0.8640061958448244,0.039439284030178566,0.005040273359510518,0.010090492326080261,0.00020959380050600756,0.37499606734018903,-0.0005388274465293994,0.11008160701740731,0.43600936555891234,0.6519442746119714,0.2941783458047823,0.2181245853336068,1199.5105740181268,0.7034673838088097,2008.3081570996978,23607.462235649546,913.7021148036255,62694.99697885197,0.7144074933161098
6,2494.122580645161,7.781823920414856,0.6308267664131264,461.1116129032258,0.9267990386704705,0.0732009613295294,0.0045640876914280135,0.7344743515446764,0.09120016824825915,0.003230830490782094,0.0820241027356619,0.00034461022752969644,0.895496051319923,0.00016335205110060703,0.13033040016395434,0.4907032258064516,0.5465274437767409,0.19014602789665896,0.39283023890344426,1431.2774193548387,0.7767077724717287,1804.9612903225807,163657.0483870968,1150.4812903225807,1044577.4225806452,0.7731277115512458
7,2372.2354740061164,7.695363207435285,0.6573594122045948,362.3006116207951,0.9306230983980063,0.06937690160199372,0.0038386076715263198,0.8136133259737532,0.0686661443634791,0.004306714162345391,0.025938159422618796,0.0003800253132113064,0.5713147541636717,0.0031177075115040634,0.14285970984973617,0.43350489296636086,0.6590216924460829,0.23327202245712636,0.31534547147718345,1276.336391437309,0.7518581886628117,1908.1162079510702,26864.847094801222,1029.2100917431194,126958.04281345566,0.740682613194525
8,1953.1939546599497,7.444736598421102,0.5462265727551068,275.9816120906801,0.936886734126799,0.06311326587320086,0.003291391941845371,0.7380960097532091,0.1703641612195977,0.004332931759777804,0.008393624884673268,0.0002733344385202655,0.6739627989217569,-0.004536129021478396,0.08989778092957999,0.45693476070528966,0.6369514495617021,0.29175472465337177,0.19943958986700344,1033.39798488665,0.6781588328830294,1476.9949622166246,53705.531486146094,824.2372795969774,228651.4735516373,0.6802192450476379
9,2232.6801152737753,7.558824446330706,0.7379236799523003,393.24293948126797,0.9450482815660869,0.0549517184339131,0.002508620634196437,0.8914959195606478,0.024165445069321907,0.0031177739737614125,0.013858495198639494,0.0003827544515652444,0.620633096686787,-0.0003294724765149995,0.09072133172608456,0.4338340057636888,0.6743378453060883,0.2816945871580033,0.246331711968478,1316.6397694524496,0.7715613996919392,1974.3688760806917,93229.58789625361,983.9484149855907,493600.6599423631,0.7727426499607551
10,2488.24358974359,7.747949412206106,0.6125973671814773,294.21891025641025,0.9429984511795332,0.05700154882046672,0.0031829279614678206,0.7294834684505986,0.13509543479824496,0.002340756276371438,0.06585228642387718,0.0002191753651873362,0.9549760632103388,0.001865316050212521,0.09431098622003442,0.4441057692307693,0.6807161032661637,0.22158343654378684,0.3475554877826639,1401.2916666666667,0.7733505941478823,1806.4775641025642,155687.65384615384,1098.7807692307692,953810.1923076923,0.7749749497631018
