DISTRICT,total_pop,total_pop_log,turnout2018_registered,election2018_closeness,pop_perc_one_race,pop_perc_two_races,pop_perc_three_or_more_races,pop_perc_white,pop_perc_black,pop_perc_am_indian,pop_perc_asian,pop_perc_pac_islander,c_pop_perc_urban,c_pop_perc_change,c_pop_perc_migration,c_gini_index,c_perc_hs_grad,c_perc_uni_grad,c_perc_owner_occupied_house,total2020_voted,turnout2020_registered,predicted_turnout
1,1400.5840867992767,6.932367104112714,0.642563925567487,638.5150090415913,0.9507836810875302,0.049216318912469824,0.0025343628596430166,0.9124715444834178,0.005439503114828838,0.022667929615617977,0.0042123496221675,0.00032172235420917906,0.0,-0.0027006161767932,0.12421925230437873,0.4368913200723327,0.30503340646621935,0.23170790967626537,0.5009065287817428,797.2603978300181,0.7291701325306688,0.7267286435414275
2,1918.5506172839507,7.389343045289763,0.5694423247165806,742.8323456790123,0.946607912904476,0.05339208709552394,0.0025851522378606473,0.9072653337923244,0.012543069583977953,0.008251524110207789,0.00440859291789966,0.0002598501763668064,0.13597092498206423,0.00253853493279131,0.1286203488828519,0.4398903703703704,0.3073785867527964,0.20275074410657543,0.5914844446723656,985.4469135802469,0.7111681287907721,0.7200156613283855
3,2657.5924657534247,7.830430002242481,0.6071055503649865,1073.4434931506848,0.9265818585442103,0.07341814145578958,0.004367280794739501,0.7358657010254994,0.10901299675005681,0.006161656038324214,0.029222809395268414,0.00029716199344654345,0.7986903935618272,0.006954252633901279,0.10655914315574334,0.4492561643835616,0.22274780997257132,0.33264093334949335,0.6707672154284643,1396.3082191780823,0.7578026514574767,0.7483416562954919
4,2559.8675496688743,7.779241502594917,0.5853479281190512,1028.606953642384,0.9254879280457539,0.07451207195424613,0.004189020075237626,0.772822302826764,0.0861020828370478,0.006114081205563067,0.023450761336772773,0.0003370874280772649,0.5723665086451966,0.004133915686100059,0.12516571665350867,0.4419907284768212,0.2470905866897036,0.3064067769430774,0.6426844785159481,1342.6523178807947,0.7278935878606851,0.7304098842546183
5,2342.2567975830816,7.686091597299327,0.5379583784439608,875.2051359516616,0.9371674561287797,0.06283254387122031,0.0029034167312449936,0.8688194445994689,0.037640063559820885,0.004889673674891497,0.00780208892357817,0.0002683356536098048,0.35611171912145867,-0.0011733000694937807,0.1089435654333904,0.4375845921450151,0.29294526119160186,0.21144198727077698,0.6540031510634708,1191.4924471299094,0.7036866291500012,0.7111179339572687
6,2497.1672025723474,7.778462416746036,0.6386634374653057,1124.9073954983924,0.9284279263944754,0.07157207360552453,0.004527138209375518,0.7162670690940285,0.09227074298580236,0.0029091646400275424,0.10150483092990292,0.00034882389172511834,0.8967818404688516,0.0005077213281557186,0.1325277993764813,0.48894147909967844,0.18289561154245124,0.4122778039512356,0.5568240846477674,1428.218649517685,0.7850483601285588,0.7782929213696756
7,2371.4831804281343,7.70353881957616,0.6776064006013193,1049.6171253822629,0.9311056581127012,0.06889434188729875,0.0036836646990008924,0.821640141277288,0.0579970762352765,0.004218667948647237,0.029599528967279572,0.00036593111637667707,0.6025200638258601,0.003819427462971045,0.143522694403459,0.43565535168195724,0.2232392275814056,0.34003268397061226,0.6660972217376668,1339.782874617737,0.7753143486707285,0.7599821985380764
8,1978.142857142857,7.470967882806228,0.5517546374825733,818.964030612245,0.9353591746021146,0.06464082539788539,0.0033404955612488154,0.7317357935399145,0.17319655925385763,0.004181218901044797,0.010439680340944007,0.000361627182844685,0.7453167959677917,-0.003934520334646018,0.08911843786000465,0.463556887755102,0.27905393454103794,0.2241218691308777,0.6401912820406825,1049.625,0.6793003289480798,0.6861896228191243
9,2181.5564971751414,7.535623417627101,0.7373962286978045,939.1762711864408,0.9444712093726945,0.05552879062730547,0.002504248871056961,0.8990577173793095,0.018720475297877747,0.0032643607230801327,0.011161910998030237,0.00039931935167595927,0.5493437906004273,-0.0008975931622788823,0.09464221293954893,0.43628333333333336,0.2817377481654983,0.2557124511777403,0.6754539848963534,1282.629943502825,0.768429380339156,0.76387418867365
10,2566.9470198675494,7.769744565299608,0.5725908983725588,1022.9245033112583,0.9430731463895645,0.05692685361043554,0.002934466462748848,0.7436108503604936,0.12917088260178683,0.0025951069911126917,0.05745042228967687,0.00020573858095115032,0.9618984427115103,0.0018633172964143596,0.08744521215414786,0.43014900662251654,0.2537586474292741,0.27669594530698816,0.690207105871817,1387.158940397351,0.7477721628938692,0.7610449973803387
11,2628.749152542373,7.8190342836236395,0.6367745940575534,1203.6640677966102,0.9382073157218885,0.0617926842781115,0.0036462018991672792,0.7039674153561578,0.13437655114709404,0.0026790657981597622,0.077583772165352,0.0002325758880549434,0.9427776326929828,0.0018688382002657,0.1064096681655142,0.4687,0.1648851474220368,0.4724222630345688,0.663991314368717,1530.5762711864406,0.786261748589605,0.8038457054053396
12,1868.0337349397591,7.448583816870202,0.5162061208144683,699.4197590361446,0.9517741280207378,0.04822587197926207,0.0043255720357728055,0.39735876862186553,0.5235126720694893,0.0028295756273424514,0.015316946499587845,0.00018892212497660795,0.9872300501253942,-0.001838560665669621,0.0787650628510268,0.4944342168674699,0.24147798545917684,0.26630617725206057,0.5358884055388363,911.0698795180723,0.6509178022950187,0.6252070527097779
13,1622.7322175732218,7.1739671730553445,0.4371461912815129,518.2297071129707,0.9415619104481789,0.05843808955182098,0.005093740301926806,0.2784636686483554,0.6017671015243558,0.004541128199420184,0.018722700317962068,0.0003827940657437452,0.993043990280042,-0.0023234520704786,0.075149419649132,0.4978,0.2514955773550426,0.2393482150788715,0.5191338016591789,690.3012552301255,0.5653346728277537,0.5753987040417605
