GEOID20,total_pop,total_pop_log,turnout2018_registered,2020_vote_share_diff,pop_perc_one_race,pop_perc_two_races,pop_perc_three_or_more_races,pop_perc_white,pop_perc_black,pop_perc_am_indian,pop_perc_asian,pop_perc_pac_islander,c_pop_pct_urban,c_pop_perc_change,c_pop_perc_migration,c_gini_index,c_perc_owner_occupied_house,c_perc_hs_grad,c_perc_uni_grad,total2020_voted,turnout2020_registered,pop_white_alone,c_tot_hs_grad,tot_turnout2018,tot_urban_pop,predicted_turnout
26003003010,1231,7.115582126184454,0.7219362745098039,64.70000000000005,0.9447603574329814,0.0552396425670186,0.000812347684809,0.9122664500406172,0.000812347684809,0.0227457351746547,0.0024370430544272,0.0,0.0,-0.0046989400065566,0.1796524969948639,0.4019,0.3776714990285458,0.3265160183066362,0.1741990846681922,561,0.6875,1123,2283,589.1,0,0.6447780955936442
26005005009,3334,8.111928063310739,0.6551861702127659,993.6,0.9469106178764248,0.0530893821235752,0.0011997600479904,0.9211157768446312,0.0065986802639472,0.0032993401319736,0.004499100179964,0.0,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,1872,0.8297872340425532,3071,25954,1478.1,9558,0.8153213256067973
26005005031,2436,7.798112628829788,0.4275202780996524,498.6,0.9470443349753694,0.0529556650246305,0.0016420361247947,0.8973727422003284,0.0073891625615763,0.0086206896551724,0.001231527093596,0.0,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,1281,0.7421784472769409,2186,25954,737.9,9558,0.7398884639926915
26005005035,3133,8.049746290952191,0.6774966711051931,1302.1999999999998,0.9613788700925632,0.0386211299074369,0.0031918289179699,0.9345675071816152,0.0051069262687519,0.0009575486753909,0.0079795722949249,0.0,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,1934,0.8584110075454949,2928,25954,1526.4,9558,0.8533905733079172
26005005042,2530,7.835974581721566,0.5680211081794196,450.5,0.9434782608695652,0.0565217391304347,0.0039525691699604,0.9205533596837944,0.009090909090909,0.0027667984189723,0.0039525691699604,0.0,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,1307,0.6897097625329816,2329,25954,1076.4000000000003,9558,0.7422944099720881
26003003007,2865,7.960323629148839,0.6212612612612614,477.0,0.9410122164048864,0.0589877835951134,0.0020942408376963,0.681326352530541,0.2017452006980802,0.0481675392670157,0.0034904013961605,0.000349040139616,0.0,-0.0046989400065566,0.1796524969948639,0.4019,0.3776714990285458,0.3265160183066362,0.1741990846681922,1276,0.7663663663663663,1952,2283,1034.4,0,0.6203373685895693
26005005003,3246,8.085178748074537,0.6308744301699131,549.6999999999999,0.9540973505853358,0.0459026494146642,0.0015403573629081,0.9128157732593962,0.0117067159581022,0.0049291435613062,0.006777572396796,0.0,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,1830,0.7583920430998756,2963,25954,1522.3000000000002,9558,0.8056126774696165
26005005018,1635,7.399398083331354,0.5350710900473934,12.800000000000011,0.9241590214067278,0.0758409785932721,0.0030581039755351,0.8146788990825689,0.0446483180428134,0.0055045871559633,0.0134556574923547,0.0,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,955,0.7543443917851501,1332,25954,677.4,9558,0.6814954101403126
26005005016,2462,7.808729306744399,0.5826815642458101,261.0,0.9398862713241268,0.0601137286758732,0.0024370430544272,0.9102355808285948,0.0081234768480909,0.0028432168968318,0.0060926076360682,0.0004061738424045,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,1278,0.7139664804469273,2241,25954,1043.0,9558,0.7293319449807413
26005005017,3937,8.278174290943738,0.5701343437822941,1152.6,0.9474218948437896,0.0525781051562103,0.001270002540005,0.9202438404876808,0.0035560071120142,0.0040640081280162,0.0068580137160274,0.0,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,2259,0.7781605235962797,3623,25954,1655.1,9558,0.8619505290510632
26005005029,3312,8.10530751550515,0.6054241435562806,783.0,0.9305555555555556,0.0694444444444444,0.001207729468599,0.8677536231884058,0.0075483091787439,0.0033212560386473,0.0060386473429951,0.0,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,1916,0.7814029363784666,2874,25954,1484.5,9558,0.7916326386513696
26005005046,3573,8.181160858023409,0.5133972992181949,796.0000000000001,0.9465435208508256,0.0534564791491743,0.0019591379792891,0.904841869577386,0.0055975370836831,0.0153932269801287,0.0058774139378673,0.0,0.085792761740629,0.0076887974307534,0.1062397217223595,0.403,0.7004904546964457,0.329562048429901,0.2262516983479994,2106,0.7484008528784648,3233,25954,1444.7000000000005,9558,0.83532018001432
26009009002,2159,7.677400430514807,0.6324881141045959,354.4,0.9559981472904122,0.0440018527095877,0.0023158869847151,0.9342288096340898,0.000463177396943,0.0115794349235757,0.0041685965724872,0.000463177396943,0.0,0.0012496768077221,0.12341635783849,0.4561,0.4771155016879739,0.281622364802933,0.2884395050412465,1423,0.751716851558373,2017,4916,1197.3000000000002,0,0.7797158747332915
