"Label (Grouping)","Alcona County, Michigan!!Estimate","Alcona County, Michigan!!Margin of Error","Alger County, Michigan!!Estimate","Alger County, Michigan!!Margin of Error","Allegan County, Michigan!!Estimate","Allegan County, Michigan!!Margin of Error","Alpena County, Michigan!!Estimate","Alpena County, Michigan!!Margin of Error","Antrim County, Michigan!!Estimate","Antrim County, Michigan!!Margin of Error","Arenac County, Michigan!!Estimate","Arenac County, Michigan!!Margin of Error","Baraga County, Michigan!!Estimate","Baraga County, Michigan!!Margin of Error","Barry County, Michigan!!Estimate","Barry County, Michigan!!Margin of Error","Bay County, Michigan!!Estimate","Bay County, Michigan!!Margin of Error","Benzie County, Michigan!!Estimate","Benzie County, Michigan!!Margin of Error","Berrien County, Michigan!!Estimate","Berrien County, Michigan!!Margin of Error","Branch County, Michigan!!Estimate","Branch County, Michigan!!Margin of Error","Calhoun County, Michigan!!Estimate","Calhoun County, Michigan!!Margin of Error","Cass County, Michigan!!Estimate","Cass County, Michigan!!Margin of Error","Charlevoix County, Michigan!!Estimate","Charlevoix County, Michigan!!Margin of Error","Cheboygan County, Michigan!!Estimate","Cheboygan County, Michigan!!Margin of Error","Chippewa County, Michigan!!Estimate","Chippewa County, Michigan!!Margin of Error","Clare County, Michigan!!Estimate","Clare County, Michigan!!Margin of Error","Clinton County, Michigan!!Estimate","Clinton County, Michigan!!Margin of Error","Crawford County, Michigan!!Estimate","Crawford County, Michigan!!Margin of Error","Delta County, Michigan!!Estimate","Delta County, Michigan!!Margin of Error","Dickinson County, Michigan!!Estimate","Dickinson County, Michigan!!Margin of Error","Eaton County, Michigan!!Estimate","Eaton County, Michigan!!Margin of Error","Emmet County, Michigan!!Estimate","Emmet County, Michigan!!Margin of Error","Genesee County, Michigan!!Estimate","Genesee County, Michigan!!Margin of Error","Gladwin County, Michigan!!Estimate","Gladwin County, Michigan!!Margin of Error","Gogebic County, Michigan!!Estimate","Gogebic County, Michigan!!Margin of Error","Grand Traverse County, Michigan!!Estimate","Grand Traverse County, Michigan!!Margin of Error","Gratiot County, Michigan!!Estimate","Gratiot County, Michigan!!Margin of Error","Hillsdale County, Michigan!!Estimate","Hillsdale County, Michigan!!Margin of Error","Houghton County, Michigan!!Estimate","Houghton County, Michigan!!Margin of Error","Huron County, Michigan!!Estimate","Huron County, Michigan!!Margin of Error","Ingham County, Michigan!!Estimate","Ingham County, Michigan!!Margin of Error","Ionia County, Michigan!!Estimate","Ionia County, Michigan!!Margin of Error","Iosco County, Michigan!!Estimate","Iosco County, Michigan!!Margin of Error","Iron County, Michigan!!Estimate","Iron County, Michigan!!Margin of Error","Isabella County, Michigan!!Estimate","Isabella County, Michigan!!Margin of Error","Jackson County, Michigan!!Estimate","Jackson County, Michigan!!Margin of Error","Kalamazoo County, Michigan!!Estimate","Kalamazoo County, Michigan!!Margin of Error","Kalkaska County, Michigan!!Estimate","Kalkaska County, Michigan!!Margin of Error","Kent County, Michigan!!Estimate","Kent County, Michigan!!Margin of Error","Keweenaw County, Michigan!!Estimate","Keweenaw County, Michigan!!Margin of Error","Lake County, Michigan!!Estimate","Lake County, Michigan!!Margin of Error","Lapeer County, Michigan!!Estimate","Lapeer County, Michigan!!Margin of Error","Leelanau County, Michigan!!Estimate","Leelanau County, Michigan!!Margin of Error","Lenawee County, Michigan!!Estimate","Lenawee County, Michigan!!Margin of Error","Livingston County, Michigan!!Estimate","Livingston County, Michigan!!Margin of Error","Luce County, Michigan!!Estimate","Luce County, Michigan!!Margin of Error","Mackinac County, Michigan!!Estimate","Mackinac County, Michigan!!Margin of Error","Macomb County, Michigan!!Estimate","Macomb County, Michigan!!Margin of Error","Manistee County, Michigan!!Estimate","Manistee County, Michigan!!Margin of Error","Marquette County, Michigan!!Estimate","Marquette County, Michigan!!Margin of Error","Mason County, Michigan!!Estimate","Mason County, Michigan!!Margin of Error","Mecosta County, Michigan!!Estimate","Mecosta County, Michigan!!Margin of Error","Menominee County, Michigan!!Estimate","Menominee County, Michigan!!Margin of Error","Midland County, Michigan!!Estimate","Midland County, Michigan!!Margin of Error","Missaukee County, Michigan!!Estimate","Missaukee County, Michigan!!Margin of Error","Monroe County, Michigan!!Estimate","Monroe County, Michigan!!Margin of Error","Montcalm County, Michigan!!Estimate","Montcalm County, Michigan!!Margin of Error","Montmorency County, Michigan!!Estimate","Montmorency County, Michigan!!Margin of Error","Muskegon County, Michigan!!Estimate","Muskegon County, Michigan!!Margin of Error","Newaygo County, Michigan!!Estimate","Newaygo County, Michigan!!Margin of Error","Oakland County, Michigan!!Estimate","Oakland County, Michigan!!Margin of Error","Oceana County, Michigan!!Estimate","Oceana County, Michigan!!Margin of Error","Ogemaw County, Michigan!!Estimate","Ogemaw County, Michigan!!Margin of Error","Ontonagon County, Michigan!!Estimate","Ontonagon County, Michigan!!Margin of Error","Osceola County, Michigan!!Estimate","Osceola County, Michigan!!Margin of Error","Oscoda County, Michigan!!Estimate","Oscoda County, Michigan!!Margin of Error","Otsego County, Michigan!!Estimate","Otsego County, Michigan!!Margin of Error","Ottawa County, Michigan!!Estimate","Ottawa County, Michigan!!Margin of Error","Presque Isle County, Michigan!!Estimate","Presque Isle County, Michigan!!Margin of Error","Roscommon County, Michigan!!Estimate","Roscommon County, Michigan!!Margin of Error","Saginaw County, Michigan!!Estimate","Saginaw County, Michigan!!Margin of Error","St. Clair County, Michigan!!Estimate","St. Clair County, Michigan!!Margin of Error","St. Joseph County, Michigan!!Estimate","St. Joseph County, Michigan!!Margin of Error","Sanilac County, Michigan!!Estimate","Sanilac County, Michigan!!Margin of Error","Schoolcraft County, Michigan!!Estimate","Schoolcraft County, Michigan!!Margin of Error","Shiawassee County, Michigan!!Estimate","Shiawassee County, Michigan!!Margin of Error","Tuscola County, Michigan!!Estimate","Tuscola County, Michigan!!Margin of Error","Van Buren County, Michigan!!Estimate","Van Buren County, Michigan!!Margin of Error","Washtenaw County, Michigan!!Estimate","Washtenaw County, Michigan!!Margin of Error","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error","Wexford County, Michigan!!Estimate","Wexford County, Michigan!!Margin of Error"
"Gini Index","0.4286","±0.0162","0.4019","±0.0198","0.4030","±0.0108","0.4390","±0.0151","0.4561","±0.0212","0.4168","±0.0146","0.4566","±0.0288","0.4094","±0.0169","0.4349","±0.0094","0.4119","±0.0152","0.4842","±0.0099","0.4143","±0.0138","0.4437","±0.0083","0.4544","±0.0182","0.4640","±0.0140","0.4211","±0.0140","0.4752","±0.0403","0.4536","±0.0137","0.4193","±0.0123","0.4154","±0.0228","0.4362","±0.0172","0.4356","±0.0265","0.4141","±0.0120","0.4656","±0.0133","0.4629","±0.0071","0.4472","±0.0147","0.4887","±0.0307","0.4480","±0.0145","0.4555","±0.0166","0.4339","±0.0127","0.4736","±0.0145","0.4329","±0.0109","0.4731","±0.0065","0.3857","±0.0116","0.4112","±0.0168","0.4293","±0.0185","0.4905","±0.0137","0.4452","±0.0117","0.4672","±0.0083","0.4251","±0.0192","0.4569","±0.0053","0.4572","±0.0432","0.4322","±0.0107","0.4190","±0.0128","0.4569","±0.0166","0.4170","±0.0121","0.4071","±0.0069","0.3958","±0.0240","0.4377","±0.0244","0.4246","±0.0045","0.4365","±0.0178","0.4284","±0.0116","0.4634","±0.0297","0.4555","±0.0173","0.4387","±0.0316","0.4728","±0.0134","0.3977","±0.0130","0.4203","±0.0105","0.4178","±0.0104","0.3887","±0.0194","0.4391","±0.0105","0.4368","±0.0149","0.4687","±0.0035","0.4179","±0.0210","0.4376","±0.0201","0.3986","±0.0139","0.4215","±0.0106","0.4439","±0.0332","0.4089","±0.0229","0.4163","±0.0074","0.4352","±0.0224","0.4295","±0.0221","0.4770","±0.0132","0.4342","±0.0080","0.4217","±0.0160","0.4310","±0.0107","0.4262","±0.0220","0.4036","±0.0122","0.4122","±0.0121","0.4391","±0.0121","0.4848","±0.0063","0.4978","±0.0027","0.4537","±0.0292"
