"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US26023950900","Census Tract 9509, Branch County, Michigan","2117","148"
"1400000US26023951000","Census Tract 9510, Branch County, Michigan","2390","152"
"1400000US26023951100","Census Tract 9511, Branch County, Michigan","3063","266"
"1400000US26023951200","Census Tract 9512, Branch County, Michigan","4071","277"
"1400000US26023951300","Census Tract 9513, Branch County, Michigan","5854","318"
"1400000US26023951400","Census Tract 9514, Branch County, Michigan","4067","284"
"1400000US26023951500","Census Tract 9515, Branch County, Michigan","2810","221"
"1400000US26023951600","Census Tract 9516, Branch County, Michigan","3253","266"
"1400000US26025000200","Census Tract 2, Calhoun County, Michigan","3524","427"
"1400000US26025000300","Census Tract 3, Calhoun County, Michigan","2017","288"
"1400000US26025000500","Census Tract 5, Calhoun County, Michigan","3511","498"
"1400000US26025000600","Census Tract 6, Calhoun County, Michigan","3001","337"
"1400000US26025000700","Census Tract 7, Calhoun County, Michigan","2737","362"
"1400000US26025000800","Census Tract 8, Calhoun County, Michigan","2713","273"
"1400000US26025000900","Census Tract 9, Calhoun County, Michigan","3510","221"
"1400000US26025001000","Census Tract 10, Calhoun County, Michigan","4082","372"
"1400000US26025001100","Census Tract 11, Calhoun County, Michigan","4128","320"
"1400000US26025001200","Census Tract 12, Calhoun County, Michigan","2289","263"
"1400000US26025001300","Census Tract 13, Calhoun County, Michigan","3971","190"
"1400000US26025001400","Census Tract 14, Calhoun County, Michigan","4307","447"
"1400000US26025001500","Census Tract 15, Calhoun County, Michigan","5331","402"
"1400000US26025001600","Census Tract 16, Calhoun County, Michigan","2862","213"
"1400000US26025001700","Census Tract 17, Calhoun County, Michigan","4474","291"
"1400000US26025001800","Census Tract 18, Calhoun County, Michigan","6045","458"
"1400000US26025001900","Census Tract 19, Calhoun County, Michigan","4199","256"
"1400000US26025002000","Census Tract 20, Calhoun County, Michigan","4953","299"
"1400000US26025002100","Census Tract 21, Calhoun County, Michigan","1122","154"
"1400000US26025002200","Census Tract 22, Calhoun County, Michigan","3390","200"
"1400000US26025002300","Census Tract 23, Calhoun County, Michigan","3643","279"
"1400000US26025002400","Census Tract 24, Calhoun County, Michigan","3032","223"
"1400000US26025002500","Census Tract 25, Calhoun County, Michigan","3285","263"
"1400000US26025002600","Census Tract 26, Calhoun County, Michigan","2080","190"
"1400000US26025002700","Census Tract 27, Calhoun County, Michigan","6264","28"
"1400000US26025002800","Census Tract 28, Calhoun County, Michigan","4337","204"
"1400000US26025002900","Census Tract 29, Calhoun County, Michigan","3055","120"
"1400000US26025003000","Census Tract 30, Calhoun County, Michigan","2130","152"
"1400000US26025003100","Census Tract 31, Calhoun County, Michigan","2977","43"
"1400000US26025003200","Census Tract 32, Calhoun County, Michigan","2260","132"
"1400000US26025003300","Census Tract 33, Calhoun County, Michigan","2065","200"
"1400000US26025003400","Census Tract 34, Calhoun County, Michigan","2163","225"
"1400000US26025003500","Census Tract 35, Calhoun County, Michigan","2799","306"
"1400000US26025003600","Census Tract 36, Calhoun County, Michigan","2070","230"
"1400000US26025003700","Census Tract 37, Calhoun County, Michigan","4734","215"
"1400000US26025003800","Census Tract 38, Calhoun County, Michigan","4236","235"
"1400000US26025003900","Census Tract 39, Calhoun County, Michigan","4745","245"
"1400000US26025004000","Census Tract 40, Calhoun County, Michigan","3969","226"
"1400000US26025004100","Census Tract 41, Calhoun County, Michigan","2202","289"
"1400000US26027001000","Census Tract 10, Cass County, Michigan","3787","25"
"1400000US26027001100","Census Tract 11, Cass County, Michigan","2944","17"
"1400000US26027001200","Census Tract 12, Cass County, Michigan","2980","229"
"1400000US26027001500","Census Tract 15, Cass County, Michigan","3754","353"
"1400000US26027001600","Census Tract 16, Cass County, Michigan","3652","220"
"1400000US26027001700","Census Tract 17, Cass County, Michigan","5089","278"
"1400000US26027001800","Census Tract 18, Cass County, Michigan","8250","252"
"1400000US26027001900","Census Tract 19, Cass County, Michigan","5204","323"
"1400000US26027002000","Census Tract 20, Cass County, Michigan","4367","266"
"1400000US26027002100","Census Tract 21, Cass County, Michigan","5589","189"
"1400000US26027002200","Census Tract 22, Cass County, Michigan","5907","430"
"1400000US26029000100","Census Tract 1, Charlevoix County, Michigan","1775","104"
"1400000US26029000200","Census Tract 2, Charlevoix County, Michigan","1302","111"
"1400000US26029000300","Census Tract 3, Charlevoix County, Michigan","2226","139"
"1400000US26029000400","Census Tract 4, Charlevoix County, Michigan","2775","135"
"1400000US26029000500","Census Tract 5, Charlevoix County, Michigan","577","66"
"1400000US26029000800","Census Tract 8, Charlevoix County, Michigan","2882","150"
"1400000US26029000900","Census Tract 9, Charlevoix County, Michigan","1958","138"
"1400000US26029001000","Census Tract 10, Charlevoix County, Michigan","2434","186"
"1400000US26029001100","Census Tract 11, Charlevoix County, Michigan","1856","183"
"1400000US26029001200","Census Tract 12, Charlevoix County, Michigan","3161","187"
"1400000US26029001300","Census Tract 13, Charlevoix County, Michigan","1637","107"
"1400000US26029001400","Census Tract 14, Charlevoix County, Michigan","1158","131"
"1400000US26029001500","Census Tract 15, Charlevoix County, Michigan","2447","254"
"1400000US26029990000","Census Tract 9900, Charlevoix County, Michigan","0","10"
"1400000US26031960100","Census Tract 9601, Cheboygan County, Michigan","2835","204"
"1400000US26031960200","Census Tract 9602, Cheboygan County, Michigan","2991","219"
"1400000US26031960300","Census Tract 9603, Cheboygan County, Michigan","4371","296"
"1400000US26031960400","Census Tract 9604, Cheboygan County, Michigan","3615","245"
"1400000US26031960500","Census Tract 9605, Cheboygan County, Michigan","2411","189"
"1400000US26031960600","Census Tract 9606, Cheboygan County, Michigan","2431","215"
"1400000US26031960700","Census Tract 9607, Cheboygan County, Michigan","3118","199"
"1400000US26031960800","Census Tract 9608, Cheboygan County, Michigan","3646","207"
"1400000US26031990000","Census Tract 9900, Cheboygan County, Michigan","0","10"
"1400000US26033970100","Census Tract 9701, Chippewa County, Michigan","3367","218"
"1400000US26033970200","Census Tract 9702, Chippewa County, Michigan","3303","332"
"1400000US26033970300","Census Tract 9703, Chippewa County, Michigan","4145","300"
"1400000US26033970400","Census Tract 9704, Chippewa County, Michigan","2535","346"
"1400000US26033970500","Census Tract 9705, Chippewa County, Michigan","3608","317"
"1400000US26033970600","Census Tract 9706, Chippewa County, Michigan","5105","325"
"1400000US26033970700","Census Tract 9707, Chippewa County, Michigan","959","150"
"1400000US26033970800","Census Tract 9708, Chippewa County, Michigan","4136","286"
"1400000US26033970900","Census Tract 9709, Chippewa County, Michigan","4887","448"
"1400000US26033971000","Census Tract 9710, Chippewa County, Michigan","2639","194"
"1400000US26033971100","Census Tract 9711, Chippewa County, Michigan","1526","146"
"1400000US26033980100","Census Tract 9801, Chippewa County, Michigan","0","10"
"1400000US26033980200","Census Tract 9802, Chippewa County, Michigan","1262","536"
"1400000US26033980300","Census Tract 9803, Chippewa County, Michigan","157","81"
"1400000US26033990000","Census Tract 9900, Chippewa County, Michigan","0","10"
"1400000US26033990100","Census Tract 9901, Chippewa County, Michigan","0","10"
"1400000US26035000100","Census Tract 1, Clare County, Michigan","1793","124"
"1400000US26035000200","Census Tract 2, Clare County, Michigan","1197","115"
"1400000US26035000300","Census Tract 3, Clare County, Michigan","2411","264"
"1400000US26035000400","Census Tract 4, Clare County, Michigan","3518","328"
"1400000US26035000500","Census Tract 5, Clare County, Michigan","1531","170"
"1400000US26035000600","Census Tract 6, Clare County, Michigan","3678","178"
"1400000US26035000700","Census Tract 7, Clare County, Michigan","3064","308"
"1400000US26035000800","Census Tract 8, Clare County, Michigan","4622","262"
"1400000US26035000900","Census Tract 9, Clare County, Michigan","1899","275"
"1400000US26035001000","Census Tract 10, Clare County, Michigan","3279","299"
"1400000US26035001300","Census Tract 13, Clare County, Michigan","3659","249"
"1400000US26037010104","Census Tract 101.04, Clinton County, Michigan","3628","248"
"1400000US26037010105","Census Tract 101.05, Clinton County, Michigan","3909","231"
"1400000US26037010107","Census Tract 101.07, Clinton County, Michigan","4162","234"
"1400000US26037010108","Census Tract 101.08, Clinton County, Michigan","4205","252"
"1400000US26037010201","Census Tract 102.01, Clinton County, Michigan","2080","153"
"1400000US26037010203","Census Tract 102.03, Clinton County, Michigan","1356","187"
"1400000US26037010204","Census Tract 102.04, Clinton County, Michigan","1873","109"
"1400000US26037010300","Census Tract 103, Clinton County, Michigan","5321","36"
"1400000US26037010400","Census Tract 104, Clinton County, Michigan","5210","206"
"1400000US26037010500","Census Tract 105, Clinton County, Michigan","3685","184"
"1400000US26037010600","Census Tract 106, Clinton County, Michigan","2443","123"
"1400000US26037010701","Census Tract 107.01, Clinton County, Michigan","2054","114"
"1400000US26037010702","Census Tract 107.02, Clinton County, Michigan","2466","124"
"1400000US26037010801","Census Tract 108.01, Clinton County, Michigan","4031","234"
"1400000US26037010802","Census Tract 108.02, Clinton County, Michigan","3859","238"
"1400000US26037010901","Census Tract 109.01, Clinton County, Michigan","2930","170"
"1400000US26037010902","Census Tract 109.02, Clinton County, Michigan","4428","170"
"1400000US26037011001","Census Tract 110.01, Clinton County, Michigan","3719","192"
"1400000US26037011002","Census Tract 110.02, Clinton County, Michigan","3509","14"
"1400000US26037011101","Census Tract 111.01, Clinton County, Michigan","4688","284"
"1400000US26037011104","Census Tract 111.04, Clinton County, Michigan","6610","331"
"1400000US26037011200","Census Tract 112, Clinton County, Michigan","2223","308"
"1400000US26039960100","Census Tract 9601, Crawford County, Michigan","2312","160"
"1400000US26039960200","Census Tract 9602, Crawford County, Michigan","3400","227"
"1400000US26039960300","Census Tract 9603, Crawford County, Michigan","3822","218"
"1400000US26039960400","Census Tract 9604, Crawford County, Michigan","2090","173"
"1400000US26039960500","Census Tract 9605, Crawford County, Michigan","2268","184"
"1400000US26041970100","Census Tract 9701, Delta County, Michigan","1709","110"
"1400000US26041970200","Census Tract 9702, Delta County, Michigan","2240","160"
"1400000US26041970300","Census Tract 9703, Delta County, Michigan","2360","155"
"1400000US26041970400","Census Tract 9704, Delta County, Michigan","5307","311"
"1400000US26041970500","Census Tract 9705, Delta County, Michigan","4254","335"
"1400000US26041970600","Census Tract 9706, Delta County, Michigan","4011","197"
"1400000US26041970700","Census Tract 9707, Delta County, Michigan","3607","183"
"1400000US26041970800","Census Tract 9708, Delta County, Michigan","4258","333"
"1400000US26041970900","Census Tract 9709, Delta County, Michigan","2541","189"
"1400000US26041971000","Census Tract 9710, Delta County, Michigan","2664","238"
"1400000US26041971100","Census Tract 9711, Delta County, Michigan","3075","236"
"1400000US26041990000","Census Tract 9900, Delta County, Michigan","0","10"
"1400000US26041990100","Census Tract 9901, Delta County, Michigan","0","10"
"1400000US26043950100","Census Tract 9501, Dickinson County, Michigan","1632","124"
"1400000US26043950200","Census Tract 9502, Dickinson County, Michigan","4447","270"
"1400000US26043950300","Census Tract 9503, Dickinson County, Michigan","4768","275"
"1400000US26043950400","Census Tract 9504, Dickinson County, Michigan","3688","279"
"1400000US26043950500","Census Tract 9505, Dickinson County, Michigan","3015","258"
"1400000US26043950600","Census Tract 9506, Dickinson County, Michigan","4378","284"
"1400000US26043950700","Census Tract 9507, Dickinson County, Michigan","3511","248"
"1400000US26045020101","Census Tract 201.01, Eaton County, Michigan","2971","231"
"1400000US26045020102","Census Tract 201.02, Eaton County, Michigan","3162","258"
"1400000US26045020103","Census Tract 201.03, Eaton County, Michigan","4077","378"
"1400000US26045020104","Census Tract 201.04, Eaton County, Michigan","3773","364"
"1400000US26045020201","Census Tract 202.01, Eaton County, Michigan","2918","224"
"1400000US26045020202","Census Tract 202.02, Eaton County, Michigan","4742","345"
"1400000US26045020302","Census Tract 203.02, Eaton County, Michigan","6724","325"
"1400000US26045020303","Census Tract 203.03, Eaton County, Michigan","3484","271"
"1400000US26045020304","Census Tract 203.04, Eaton County, Michigan","4832","314"
"1400000US26045020402","Census Tract 204.02, Eaton County, Michigan","2870","193"
"1400000US26045020403","Census Tract 204.03, Eaton County, Michigan","2702","174"
"1400000US26045020404","Census Tract 204.04, Eaton County, Michigan","4353","218"
"1400000US26045020500","Census Tract 205, Eaton County, Michigan","3517","209"
"1400000US26045020601","Census Tract 206.01, Eaton County, Michigan","3987","144"
"1400000US26045020602","Census Tract 206.02, Eaton County, Michigan","3334","183"
"1400000US26045020700","Census Tract 207, Eaton County, Michigan","4092","179"
"1400000US26045020800","Census Tract 208, Eaton County, Michigan","5153","249"
"1400000US26045020901","Census Tract 209.01, Eaton County, Michigan","2997","269"
"1400000US26045020902","Census Tract 209.02, Eaton County, Michigan","4111","290"
"1400000US26045021001","Census Tract 210.01, Eaton County, Michigan","4818","295"
"1400000US26045021002","Census Tract 210.02, Eaton County, Michigan","4167","191"
"1400000US26045021100","Census Tract 211, Eaton County, Michigan","5637","246"
"1400000US26045021201","Census Tract 212.01, Eaton County, Michigan","2982","242"
"1400000US26045021202","Census Tract 212.02, Eaton County, Michigan","3644","176"
"1400000US26045021301","Census Tract 213.01, Eaton County, Michigan","2911","173"
"1400000US26045021302","Census Tract 213.02, Eaton County, Michigan","3269","240"
"1400000US26045021401","Census Tract 214.01, Eaton County, Michigan","3595","305"
"1400000US26045021402","Census Tract 214.02, Eaton County, Michigan","4634","223"
"1400000US26047970100","Census Tract 9701, Emmet County, Michigan","2079","132"
"1400000US26047970200","Census Tract 9702, Emmet County, Michigan","5712","262"
"1400000US26047970300","Census Tract 9703, Emmet County, Michigan","4260","206"
"1400000US26047970400","Census Tract 9704, Emmet County, Michigan","2780","192"
"1400000US26047970500","Census Tract 9705, Emmet County, Michigan","4729","298"
"1400000US26047970600","Census Tract 9706, Emmet County, Michigan","5739","285"
"1400000US26047970700","Census Tract 9707, Emmet County, Michigan","3624","298"
"1400000US26047970800","Census Tract 9708, Emmet County, Michigan","4181","297"
"1400000US26047990000","Census Tract 9900, Emmet County, Michigan","0","10"
"1400000US26049000100","Census Tract 1, Genesee County, Michigan","2427","293"
"1400000US26049000200","Census Tract 2, Genesee County, Michigan","1315","144"
"1400000US26049000300","Census Tract 3, Genesee County, Michigan","2272","379"
"1400000US26049000400","Census Tract 4, Genesee County, Michigan","1324","243"
"1400000US26049000500","Census Tract 5, Genesee County, Michigan","1962","444"
"1400000US26049000600","Census Tract 6, Genesee County, Michigan","1707","456"
"1400000US26049000700","Census Tract 7, Genesee County, Michigan","2080","291"
"1400000US26049000800","Census Tract 8, Genesee County, Michigan","981","243"
"1400000US26049000900","Census Tract 9, Genesee County, Michigan","2557","418"
"1400000US26049001000","Census Tract 10, Genesee County, Michigan","1796","241"
"1400000US26049001100","Census Tract 11, Genesee County, Michigan","1775","386"
"1400000US26049001200","Census Tract 12, Genesee County, Michigan","3484","471"
"1400000US26049001300","Census Tract 13, Genesee County, Michigan","2529","276"
"1400000US26049001400","Census Tract 14, Genesee County, Michigan","1507","310"
"1400000US26049001500","Census Tract 15, Genesee County, Michigan","1291","254"
"1400000US26049001600","Census Tract 16, Genesee County, Michigan","4409","638"
"1400000US26049001700","Census Tract 17, Genesee County, Michigan","1163","193"
"1400000US26049001800","Census Tract 18, Genesee County, Michigan","2175","419"
"1400000US26049001900","Census Tract 19, Genesee County, Michigan","3029","296"
"1400000US26049002000","Census Tract 20, Genesee County, Michigan","828","112"
"1400000US26049002200","Census Tract 22, Genesee County, Michigan","1924","432"
"1400000US26049002300","Census Tract 23, Genesee County, Michigan","1809","301"
"1400000US26049002400","Census Tract 24, Genesee County, Michigan","3221","302"
"1400000US26049002600","Census Tract 26, Genesee County, Michigan","2616","330"
"1400000US26049002700","Census Tract 27, Genesee County, Michigan","3580","426"
"1400000US26049002800","Census Tract 28, Genesee County, Michigan","2693","338"
"1400000US26049002900","Census Tract 29, Genesee County, Michigan","1809","250"
"1400000US26049003000","Census Tract 30, Genesee County, Michigan","4404","527"
"1400000US26049003100","Census Tract 31, Genesee County, Michigan","2521","261"
"1400000US26049003200","Census Tract 32, Genesee County, Michigan","1912","328"
"1400000US26049003300","Census Tract 33, Genesee County, Michigan","2358","336"
"1400000US26049003400","Census Tract 34, Genesee County, Michigan","2316","274"
"1400000US26049003500","Census Tract 35, Genesee County, Michigan","3054","376"
"1400000US26049003600","Census Tract 36, Genesee County, Michigan","6557","678"
