"Label (Grouping)","Allegan County, Michigan!!Estimate","Allegan County, Michigan!!Margin of Error","Allegan County, Michigan!!Percent","Allegan County, Michigan!!Percent Margin of Error","Bay County, Michigan!!Estimate","Bay County, Michigan!!Margin of Error","Bay County, Michigan!!Percent","Bay County, Michigan!!Percent Margin of Error","Berrien County, Michigan!!Estimate","Berrien County, Michigan!!Margin of Error","Berrien County, Michigan!!Percent","Berrien County, Michigan!!Percent Margin of Error","Calhoun County, Michigan!!Estimate","Calhoun County, Michigan!!Margin of Error","Calhoun County, Michigan!!Percent","Calhoun County, Michigan!!Percent Margin of Error","Clinton County, Michigan!!Estimate","Clinton County, Michigan!!Margin of Error","Clinton County, Michigan!!Percent","Clinton County, Michigan!!Percent Margin of Error","Eaton County, Michigan!!Estimate","Eaton County, Michigan!!Margin of Error","Eaton County, Michigan!!Percent","Eaton County, Michigan!!Percent Margin of Error","Genesee County, Michigan!!Estimate","Genesee County, Michigan!!Margin of Error","Genesee County, Michigan!!Percent","Genesee County, Michigan!!Percent Margin of Error","Grand Traverse County, Michigan!!Estimate","Grand Traverse County, Michigan!!Margin of Error","Grand Traverse County, Michigan!!Percent","Grand Traverse County, Michigan!!Percent Margin of Error","Ingham County, Michigan!!Estimate","Ingham County, Michigan!!Margin of Error","Ingham County, Michigan!!Percent","Ingham County, Michigan!!Percent Margin of Error","Isabella County, Michigan!!Estimate","Isabella County, Michigan!!Margin of Error","Isabella County, Michigan!!Percent","Isabella County, Michigan!!Percent Margin of Error","Jackson County, Michigan!!Estimate","Jackson County, Michigan!!Margin of Error","Jackson County, Michigan!!Percent","Jackson County, Michigan!!Percent Margin of Error","Kalamazoo County, Michigan!!Estimate","Kalamazoo County, Michigan!!Margin of Error","Kalamazoo County, Michigan!!Percent","Kalamazoo County, Michigan!!Percent Margin of Error","Kent County, Michigan!!Estimate","Kent County, Michigan!!Margin of Error","Kent County, Michigan!!Percent","Kent County, Michigan!!Percent Margin of Error","Lapeer County, Michigan!!Estimate","Lapeer County, Michigan!!Margin of Error","Lapeer County, Michigan!!Percent","Lapeer County, Michigan!!Percent Margin of Error","Lenawee County, Michigan!!Estimate","Lenawee County, Michigan!!Margin of Error","Lenawee County, Michigan!!Percent","Lenawee County, Michigan!!Percent Margin of Error","Livingston County, Michigan!!Estimate","Livingston County, Michigan!!Margin of Error","Livingston County, Michigan!!Percent","Livingston County, Michigan!!Percent Margin of Error","Macomb County, Michigan!!Estimate","Macomb County, Michigan!!Margin of Error","Macomb County, Michigan!!Percent","Macomb County, Michigan!!Percent Margin of Error","Marquette County, Michigan!!Estimate","Marquette County, Michigan!!Margin of Error","Marquette County, Michigan!!Percent","Marquette County, Michigan!!Percent Margin of Error","Midland County, Michigan!!Estimate","Midland County, Michigan!!Margin of Error","Midland County, Michigan!!Percent","Midland County, Michigan!!Percent Margin of Error","Monroe County, Michigan!!Estimate","Monroe County, Michigan!!Margin of Error","Monroe County, Michigan!!Percent","Monroe County, Michigan!!Percent Margin of Error","Muskegon County, Michigan!!Estimate","Muskegon County, Michigan!!Margin of Error","Muskegon County, Michigan!!Percent","Muskegon County, Michigan!!Percent Margin of Error","Oakland County, Michigan!!Estimate","Oakland County, Michigan!!Margin of Error","Oakland County, Michigan!!Percent","Oakland County, Michigan!!Percent Margin of Error","Ottawa County, Michigan!!Estimate","Ottawa County, Michigan!!Margin of Error","Ottawa County, Michigan!!Percent","Ottawa County, Michigan!!Percent Margin of Error","Saginaw County, Michigan!!Estimate","Saginaw County, Michigan!!Margin of Error","Saginaw County, Michigan!!Percent","Saginaw County, Michigan!!Percent Margin of Error","St. Clair County, Michigan!!Estimate","St. Clair County, Michigan!!Margin of Error","St. Clair County, Michigan!!Percent","St. Clair County, Michigan!!Percent Margin of Error","Shiawassee County, Michigan!!Estimate","Shiawassee County, Michigan!!Margin of Error","Shiawassee County, Michigan!!Percent","Shiawassee County, Michigan!!Percent Margin of Error","Van Buren County, Michigan!!Estimate","Van Buren County, Michigan!!Margin of Error","Van Buren County, Michigan!!Percent","Van Buren County, Michigan!!Percent Margin of Error","Washtenaw County, Michigan!!Estimate","Washtenaw County, Michigan!!Margin of Error","Washtenaw County, Michigan!!Percent","Washtenaw County, Michigan!!Percent Margin of Error","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error","Wayne County, Michigan!!Percent","Wayne County, Michigan!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","51,989","±252","51,989","(X)","48,365","±257","48,365","(X)","77,902","±508","77,902","(X)","60,915","±655","60,915","(X)","32,170","±204","32,170","(X)","47,812","±373","47,812","(X)","192,921","±566","192,921","(X)","45,119","±279","45,119","(X)","124,347","±723","124,347","(X)","29,304","±302","29,304","(X)","69,818","±514","69,818","(X)","113,062","±664","113,062","(X)","259,379","±628","259,379","(X)","36,980","±226","36,980","(X)","43,971","±325","43,971","(X)","77,734","±262","77,734","(X)","369,436","±459","369,436","(X)","34,967","±343","34,967","(X)","37,202","±252","37,202","(X)","65,256","±280","65,256","(X)","74,496","±535","74,496","(X)","544,682","±470","544,682","(X)","112,002","±571","112,002","(X)","88,021","±605","88,021","(X)","72,581","±420","72,581","(X)","30,269","±177","30,269","(X)","37,549","±330","37,549","(X)","152,272","±1,078","152,272","(X)","815,538","±893","815,538","(X)"
"        Occupied housing units","43,667","±1,438","84.0%","±2.7","44,887","±1,117","92.8%","±2.3","61,809","±2,093","79.3%","±2.6","53,827","±1,840","88.4%","±2.9","30,070","±692","93.5%","±2.1","44,420","±1,034","92.9%","±2.0","169,247","±2,251","87.7%","±1.2","37,408","±1,903","82.9%","±4.2","114,534","±1,819","92.1%","±1.4","24,690","±969","84.3%","±3.3","61,403","±1,713","87.9%","±2.2","103,196","±2,059","91.3%","±1.8","245,437","±2,516","94.6%","±1.0","33,902","±1,026","91.7%","±2.7","38,499","±1,322","87.6%","±3.0","73,502","±1,213","94.6%","±1.5","351,666","±2,850","95.2%","±0.8","27,981","±1,092","80.0%","±3.0","34,350","±934","92.3%","±2.6","60,875","±1,293","93.3%","±2.0","66,148","±1,782","88.8%","±2.3","508,464","±3,628","93.4%","±0.7","105,004","±1,614","93.8%","±1.4","79,050","±2,036","89.8%","±2.2","63,806","±1,836","87.9%","±2.5","26,830","±976","88.6%","±3.1","30,974","±1,335","82.5%","±3.4","141,680","±2,021","93.0%","±1.2","689,270","±6,025","84.5%","±0.7"
"        Vacant housing units","8,322","±1,387","16.0%","±2.7","3,478","±1,101","7.2%","±2.3","16,093","±2,057","20.7%","±2.6","7,088","±1,742","11.6%","±2.9","2,100","±678","6.5%","±2.1","3,392","±968","7.1%","±2.0","23,674","±2,267","12.3%","±1.2","7,711","±1,888","17.1%","±4.2","9,813","±1,684","7.9%","±1.4","4,614","±967","15.7%","±3.3","8,415","±1,550","12.1%","±2.2","9,866","±2,042","8.7%","±1.8","13,942","±2,514","5.4%","±1.0","3,078","±1,012","8.3%","±2.7","5,472","±1,308","12.4%","±3.0","4,232","±1,168","5.4%","±1.5","17,770","±2,799","4.8%","±0.8","6,986","±1,035","20.0%","±3.0","2,852","±959","7.7%","±2.6","4,381","±1,291","6.7%","±2.0","8,348","±1,710","11.2%","±2.3","36,218","±3,596","6.6%","±0.7","6,998","±1,617","6.2%","±1.4","8,971","±1,955","10.2%","±2.2","8,775","±1,809","12.1%","±2.5","3,439","±946","11.4%","±3.1","6,575","±1,269","17.5%","±3.4","10,592","±1,872","7.0%","±1.2","126,268","±5,943","15.5%","±0.7"
"        Homeowner vacancy rate","1.1","±1.1","(X)","(X)","2.0","±1.6","(X)","(X)","1.7","±1.2","(X)","(X)","0.6","±0.5","(X)","(X)","0.7","±0.6","(X)","(X)","0.2","±0.4","(X)","(X)","1.1","±0.6","(X)","(X)","0.2","±0.3","(X)","(X)","2.1","±1.1","(X)","(X)","1.7","±1.6","(X)","(X)","1.9","±1.0","(X)","(X)","0.5","±0.7","(X)","(X)","0.7","±0.4","(X)","(X)","1.0","±1.0","(X)","(X)","0.6","±0.8","(X)","(X)","1.2","±0.8","(X)","(X)","0.9","±0.4","(X)","(X)","1.2","±1.0","(X)","(X)","1.8","±1.6","(X)","(X)","1.8","±1.3","(X)","(X)","0.2","±0.2","(X)","(X)","0.8","±0.3","(X)","(X)","0.2","±0.2","(X)","(X)","1.0","±0.8","(X)","(X)","1.2","±0.9","(X)","(X)","2.9","±2.4","(X)","(X)","0.6","±0.8","(X)","(X)","0.7","±0.5","(X)","(X)","2.7","±0.4","(X)","(X)"
"        Rental vacancy rate","3.4","±5.3","(X)","(X)","3.4","±2.9","(X)","(X)","7.2","±4.3","(X)","(X)","11.4","±5.5","(X)","(X)","18.0","±9.2","(X)","(X)","8.5","±4.6","(X)","(X)","5.7","±1.8","(X)","(X)","7.0","±6.2","(X)","(X)","4.9","±2.0","(X)","(X)","12.2","±6.5","(X)","(X)","5.1","±3.0","(X)","(X)","6.1","±2.7","(X)","(X)","4.5","±1.8","(X)","(X)","0.0","±2.4","(X)","(X)","1.2","±1.9","(X)","(X)","2.6","±3.0","(X)","(X)","4.8","±1.6","(X)","(X)","6.0","±4.8","(X)","(X)","2.5","±3.9","(X)","(X)","1.1","±1.8","(X)","(X)","6.5","±3.3","(X)","(X)","7.3","±1.4","(X)","(X)","3.3","±2.6","(X)","(X)","12.5","±4.2","(X)","(X)","3.3","±3.0","(X)","(X)","10.0","±6.2","(X)","(X)","7.2","±6.2","(X)","(X)","3.6","±1.3","(X)","(X)","4.9","±0.8","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","51,989","±252","51,989","(X)","48,365","±257","48,365","(X)","77,902","±508","77,902","(X)","60,915","±655","60,915","(X)","32,170","±204","32,170","(X)","47,812","±373","47,812","(X)","192,921","±566","192,921","(X)","45,119","±279","45,119","(X)","124,347","±723","124,347","(X)","29,304","±302","29,304","(X)","69,818","±514","69,818","(X)","113,062","±664","113,062","(X)","259,379","±628","259,379","(X)","36,980","±226","36,980","(X)","43,971","±325","43,971","(X)","77,734","±262","77,734","(X)","369,436","±459","369,436","(X)","34,967","±343","34,967","(X)","37,202","±252","37,202","(X)","65,256","±280","65,256","(X)","74,496","±535","74,496","(X)","544,682","±470","544,682","(X)","112,002","±571","112,002","(X)","88,021","±605","88,021","(X)","72,581","±420","72,581","(X)","30,269","±177","30,269","(X)","37,549","±330","37,549","(X)","152,272","±1,078","152,272","(X)","815,538","±893","815,538","(X)"
"        1-unit, detached","41,188","±1,296","79.2%","±2.5","36,346","±1,477","75.1%","±3.1","58,899","±1,693","75.6%","±2.1","44,290","±1,396","72.7%","±2.4","25,127","±937","78.1%","±2.8","33,057","±1,575","69.1%","±3.2","140,555","±2,944","72.9%","±1.5","31,300","±1,435","69.4%","±3.1","75,664","±2,180","60.8%","±1.7","16,917","±925","57.7%","±3.2","53,937","±1,705","77.3%","±2.3","68,489","±2,680","60.6%","±2.3","171,673","±3,871","66.2%","±1.5","30,933","±955","83.6%","±2.5","34,553","±1,349","78.6%","±2.9","61,981","±1,517","79.7%","±1.9","256,335","±4,295","69.4%","±1.2","24,541","±1,394","70.2%","±4.0","28,405","±1,066","76.4%","±2.9","49,452","±1,778","75.8%","±2.8","54,236","±1,855","72.8%","±2.5","372,837","±4,130","68.5%","±0.8","77,908","±2,448","69.6%","±2.2","66,150","±1,934","75.2%","±2.2","56,822","±1,427","78.3%","±1.9","24,075","±946","79.5%","±3.1","28,851","±1,364","76.8%","±3.6","88,028","±2,846","57.8%","±1.9","566,340","±6,097","69.4%","±0.7"
"        1-unit, attached","1,653","±491","3.2%","±0.9","1,792","±585","3.7%","±1.2","1,575","±664","2.0%","±0.9","787","±299","1.3%","±0.5","834","±390","2.6%","±1.2","2,482","±815","5.2%","±1.7","10,488","±1,804","5.4%","±0.9","3,222","±1,334","7.1%","±3.0","6,726","±1,187","5.4%","±1.0","897","±344","3.1%","±1.2","837","±355","1.2%","±0.5","3,478","±910","3.1%","±0.8","17,688","±2,386","6.8%","±0.9","752","±340","2.0%","±0.9","554","±298","1.3%","±0.7","4,401","±754","5.7%","±1.0","35,359","±2,907","9.6%","±0.8","801","±311","2.3%","±0.9","1,504","±456","4.0%","±1.2","1,798","±594","2.8%","±0.9","2,224","±648","3.0%","±0.9","30,658","±2,513","5.6%","±0.5","7,702","±1,114","6.9%","±1.0","3,776","±1,156","4.3%","±1.3","2,302","±722","3.2%","±1.0","440","±299","1.5%","±1.0","166","±146","0.4%","±0.4","9,204","±1,121","6.0%","±0.7","49,446","±3,188","6.1%","±0.4"
