"Label (Grouping)","Allegan County, Michigan!!Estimate","Allegan County, Michigan!!Margin of Error","Allegan County, Michigan!!Percent","Allegan County, Michigan!!Percent Margin of Error","Bay County, Michigan!!Estimate","Bay County, Michigan!!Margin of Error","Bay County, Michigan!!Percent","Bay County, Michigan!!Percent Margin of Error","Berrien County, Michigan!!Estimate","Berrien County, Michigan!!Margin of Error","Berrien County, Michigan!!Percent","Berrien County, Michigan!!Percent Margin of Error","Calhoun County, Michigan!!Estimate","Calhoun County, Michigan!!Margin of Error","Calhoun County, Michigan!!Percent","Calhoun County, Michigan!!Percent Margin of Error","Clinton County, Michigan!!Estimate","Clinton County, Michigan!!Margin of Error","Clinton County, Michigan!!Percent","Clinton County, Michigan!!Percent Margin of Error","Eaton County, Michigan!!Estimate","Eaton County, Michigan!!Margin of Error","Eaton County, Michigan!!Percent","Eaton County, Michigan!!Percent Margin of Error","Genesee County, Michigan!!Estimate","Genesee County, Michigan!!Margin of Error","Genesee County, Michigan!!Percent","Genesee County, Michigan!!Percent Margin of Error","Grand Traverse County, Michigan!!Estimate","Grand Traverse County, Michigan!!Margin of Error","Grand Traverse County, Michigan!!Percent","Grand Traverse County, Michigan!!Percent Margin of Error","Ingham County, Michigan!!Estimate","Ingham County, Michigan!!Margin of Error","Ingham County, Michigan!!Percent","Ingham County, Michigan!!Percent Margin of Error","Isabella County, Michigan!!Estimate","Isabella County, Michigan!!Margin of Error","Isabella County, Michigan!!Percent","Isabella County, Michigan!!Percent Margin of Error","Jackson County, Michigan!!Estimate","Jackson County, Michigan!!Margin of Error","Jackson County, Michigan!!Percent","Jackson County, Michigan!!Percent Margin of Error","Kalamazoo County, Michigan!!Estimate","Kalamazoo County, Michigan!!Margin of Error","Kalamazoo County, Michigan!!Percent","Kalamazoo County, Michigan!!Percent Margin of Error","Kent County, Michigan!!Estimate","Kent County, Michigan!!Margin of Error","Kent County, Michigan!!Percent","Kent County, Michigan!!Percent Margin of Error","Lapeer County, Michigan!!Estimate","Lapeer County, Michigan!!Margin of Error","Lapeer County, Michigan!!Percent","Lapeer County, Michigan!!Percent Margin of Error","Lenawee County, Michigan!!Estimate","Lenawee County, Michigan!!Margin of Error","Lenawee County, Michigan!!Percent","Lenawee County, Michigan!!Percent Margin of Error","Livingston County, Michigan!!Estimate","Livingston County, Michigan!!Margin of Error","Livingston County, Michigan!!Percent","Livingston County, Michigan!!Percent Margin of Error","Macomb County, Michigan!!Estimate","Macomb County, Michigan!!Margin of Error","Macomb County, Michigan!!Percent","Macomb County, Michigan!!Percent Margin of Error","Marquette County, Michigan!!Estimate","Marquette County, Michigan!!Margin of Error","Marquette County, Michigan!!Percent","Marquette County, Michigan!!Percent Margin of Error","Midland County, Michigan!!Estimate","Midland County, Michigan!!Margin of Error","Midland County, Michigan!!Percent","Midland County, Michigan!!Percent Margin of Error","Monroe County, Michigan!!Estimate","Monroe County, Michigan!!Margin of Error","Monroe County, Michigan!!Percent","Monroe County, Michigan!!Percent Margin of Error","Muskegon County, Michigan!!Estimate","Muskegon County, Michigan!!Margin of Error","Muskegon County, Michigan!!Percent","Muskegon County, Michigan!!Percent Margin of Error","Oakland County, Michigan!!Estimate","Oakland County, Michigan!!Margin of Error","Oakland County, Michigan!!Percent","Oakland County, Michigan!!Percent Margin of Error","Ottawa County, Michigan!!Estimate","Ottawa County, Michigan!!Margin of Error","Ottawa County, Michigan!!Percent","Ottawa County, Michigan!!Percent Margin of Error","Saginaw County, Michigan!!Estimate","Saginaw County, Michigan!!Margin of Error","Saginaw County, Michigan!!Percent","Saginaw County, Michigan!!Percent Margin of Error","St. Clair County, Michigan!!Estimate","St. Clair County, Michigan!!Margin of Error","St. Clair County, Michigan!!Percent","St. Clair County, Michigan!!Percent Margin of Error","Shiawassee County, Michigan!!Estimate","Shiawassee County, Michigan!!Margin of Error","Shiawassee County, Michigan!!Percent","Shiawassee County, Michigan!!Percent Margin of Error","Van Buren County, Michigan!!Estimate","Van Buren County, Michigan!!Margin of Error","Van Buren County, Michigan!!Percent","Van Buren County, Michigan!!Percent Margin of Error","Washtenaw County, Michigan!!Estimate","Washtenaw County, Michigan!!Margin of Error","Washtenaw County, Michigan!!Percent","Washtenaw County, Michigan!!Percent Margin of Error","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error","Wayne County, Michigan!!Percent","Wayne County, Michigan!!Percent Margin of Error"
"        2 units","897","±426","1.7%","±0.8","1,807","±772","3.7%","±1.6","3,228","±1,108","4.1%","±1.4","1,840","±626","3.0%","±1.0","649","±397","2.0%","±1.2","986","±460","2.1%","±1.0","4,014","±1,171","2.1%","±0.6","683","±431","1.5%","±1.0","4,731","±1,380","3.8%","±1.1","740","±378","2.5%","±1.3","2,798","±856","4.0%","±1.2","1,964","±836","1.7%","±0.7","9,647","±1,643","3.7%","±0.6","737","±472","2.0%","±1.3","1,782","±667","4.1%","±1.5","508","±323","0.7%","±0.4","1,969","±737","0.5%","±0.2","1,414","±590","4.0%","±1.7","351","±235","0.9%","±0.6","1,826","±714","2.8%","±1.1","2,114","±942","2.8%","±1.3","8,180","±1,743","1.5%","±0.3","3,149","±1,063","2.8%","±0.9","1,930","±694","2.2%","±0.8","1,471","±554","2.0%","±0.8","794","±382","2.6%","±1.3","500","±302","1.3%","±0.8","3,688","±995","2.4%","±0.7","32,751","±2,830","4.0%","±0.3"
"        3 or 4 units","808","±511","1.6%","±1.0","1,764","±765","3.6%","±1.6","2,766","±866","3.6%","±1.1","1,719","±742","2.8%","±1.2","577","±354","1.8%","±1.1","1,227","±436","2.6%","±0.9","3,023","±956","1.6%","±0.5","979","±514","2.2%","±1.1","3,029","±955","2.4%","±0.8","919","±377","3.1%","±1.3","1,927","±672","2.8%","±1.0","5,081","±1,140","4.5%","±1.0","7,201","±1,385","2.8%","±0.5","833","±408","2.3%","±1.1","1,229","±448","2.8%","±1.0","734","±376","0.9%","±0.5","9,423","±1,751","2.6%","±0.5","1,668","±654","4.8%","±1.9","218","±138","0.6%","±0.4","1,426","±624","2.2%","±1.0","2,032","±860","2.7%","±1.2","19,256","±2,378","3.5%","±0.4","3,945","±1,403","3.5%","±1.3","3,233","±1,155","3.7%","±1.3","2,086","±840","2.9%","±1.2","915","±372","3.0%","±1.2","892","±494","2.4%","±1.3","6,729","±1,398","4.4%","±0.9","23,821","±2,662","2.9%","±0.3"
"        5 to 9 units","851","±556","1.6%","±1.1","784","±444","1.6%","±0.9","2,800","±943","3.6%","±1.2","1,611","±654","2.6%","±1.1","1,191","±625","3.7%","±1.9","2,228","±802","4.7%","±1.7","6,960","±1,516","3.6%","±0.8","2,404","±856","5.3%","±1.9","7,762","±1,479","6.2%","±1.2","2,359","±741","8.1%","±2.5","1,632","±775","2.3%","±1.1","7,086","±1,570","6.3%","±1.4","10,756","±1,912","4.1%","±0.7","617","±320","1.7%","±0.9","1,134","±511","2.6%","±1.2","2,180","±778","2.8%","±1.0","23,815","±2,876","6.4%","±0.8","1,787","±594","5.1%","±1.7","1,024","±566","2.8%","±1.5","1,177","±461","1.8%","±0.7","2,426","±931","3.3%","±1.2","38,337","±2,936","7.0%","±0.5","5,491","±1,383","4.9%","±1.2","4,548","±1,192","5.2%","±1.3","1,931","±574","2.7%","±0.8","580","±341","1.9%","±1.1","588","±313","1.6%","±0.8","13,503","±1,578","8.9%","±1.0","35,193","±2,936","4.3%","±0.4"
"        10 to 19 units","1,110","±698","2.1%","±1.3","1,098","±552","2.3%","±1.1","1,646","±775","2.1%","±1.0","1,622","±587","2.7%","±1.0","1,072","±473","3.3%","±1.5","3,049","±777","6.4%","±1.6","7,727","±1,688","4.0%","±0.9","1,508","±716","3.3%","±1.6","10,980","±1,645","8.8%","±1.3","2,625","±794","9.0%","±2.7","1,392","±639","2.0%","±0.9","11,613","±1,772","10.3%","±1.6","13,459","±1,869","5.2%","±0.7","419","±270","1.1%","±0.7","1,210","±430","2.8%","±1.0","2,184","±759","2.8%","±1.0","13,112","±1,912","3.5%","±0.5","1,484","±536","4.2%","±1.5","1,410","±596","3.8%","±1.6","1,243","±681","1.9%","±1.0","2,139","±760","2.9%","±1.0","23,200","±2,611","4.3%","±0.5","4,011","±1,103","3.6%","±1.0","2,316","±549","2.6%","±0.6","1,419","±580","2.0%","±0.8","514","±272","1.7%","±0.9","106","±77","0.3%","±0.2","12,059","±1,511","7.9%","±1.0","25,650","±2,446","3.1%","±0.3"
"        20 or more units","394","±237","0.8%","±0.5","1,879","±757","3.9%","±1.6","3,101","±699","4.0%","±0.9","5,629","±1,338","9.2%","±2.2","610","±257","1.9%","±0.8","2,614","±707","5.5%","±1.5","9,470","±1,516","4.9%","±0.8","1,950","±660","4.3%","±1.5","12,230","±1,685","9.8%","±1.3","1,935","±617","6.6%","±2.1","3,761","±925","5.4%","±1.3","12,795","±2,332","11.3%","±2.1","17,992","±2,195","6.9%","±0.8","273","±161","0.7%","±0.4","877","±404","2.0%","±0.9","1,405","±531","1.8%","±0.7","15,762","±2,030","4.3%","±0.5","1,207","±460","3.5%","±1.3","1,309","±571","3.5%","±1.5","2,931","±914","4.5%","±1.4","3,672","±882","4.9%","±1.2","37,924","±2,790","7.0%","±0.5","3,532","±737","3.2%","±0.7","3,170","±640","3.6%","±0.7","1,896","±545","2.6%","±0.7","1,246","±589","4.1%","±1.9","1,158","±559","3.1%","±1.5","13,013","±1,645","8.5%","±1.1","67,491","±3,491","8.3%","±0.4"
"        Mobile home","4,995","±960","9.6%","±1.8","2,895","±715","6.0%","±1.5","3,864","±970","5.0%","±1.2","3,417","±757","5.6%","±1.2","2,110","±529","6.6%","±1.6","2,169","±489","4.5%","±1.0","10,554","±1,597","5.5%","±0.8","3,073","±794","6.8%","±1.8","3,225","±811","2.6%","±0.7","2,868","±465","9.8%","±1.6","3,511","±789","5.0%","±1.1","2,465","±781","2.2%","±0.7","10,963","±1,439","4.2%","±0.6","2,416","±676","6.5%","±1.8","2,632","±695","6.0%","±1.6","4,209","±886","5.4%","±1.1","13,384","±2,061","3.6%","±0.6","2,065","±615","5.9%","±1.8","2,981","±705","8.0%","±1.9","5,403","±1,206","8.3%","±1.9","5,653","±1,210","7.6%","±1.6","14,225","±1,784","2.6%","±0.3","6,264","±1,288","5.6%","±1.1","2,898","±654","3.3%","±0.7","4,594","±901","6.3%","±1.2","1,705","±512","5.6%","±1.7","5,288","±1,127","14.1%","±3.0","5,994","±974","3.9%","±0.6","14,800","±1,872","1.8%","±0.2"
"        Boat, RV, van, etc.","93","±114","0.2%","±0.2","0","±175","0.0%","±0.3","23","±37","0.0%","±0.1","0","±175","0.0%","±0.2","0","±175","0.0%","±0.4","0","±175","0.0%","±0.3","130","±164","0.1%","±0.1","0","±175","0.0%","±0.3","0","±175","0.0%","±0.1","44","±61","0.2%","±0.2","23","±40","0.0%","±0.1","91","±151","0.1%","±0.1","0","±175","0.0%","±0.1","0","±175","0.0%","±0.3","0","±175","0.0%","±0.3","132","±215","0.2%","±0.3","277","±443","0.1%","±0.1","0","±175","0.0%","±0.4","0","±175","0.0%","±0.3","0","±175","0.0%","±0.2","0","±175","0.0%","±0.2","65","±94","0.0%","±0.1","0","±175","0.0%","±0.1","0","±175","0.0%","±0.1","60","±99","0.1%","±0.1","0","±175","0.0%","±0.4","0","±175","0.0%","±0.3","54","±91","0.0%","±0.1","46","±76","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","51,989","±252","51,989","(X)","48,365","±257","48,365","(X)","77,902","±508","77,902","(X)","60,915","±655","60,915","(X)","32,170","±204","32,170","(X)","47,812","±373","47,812","(X)","192,921","±566","192,921","(X)","45,119","±279","45,119","(X)","124,347","±723","124,347","(X)","29,304","±302","29,304","(X)","69,818","±514","69,818","(X)","113,062","±664","113,062","(X)","259,379","±628","259,379","(X)","36,980","±226","36,980","(X)","43,971","±325","43,971","(X)","77,734","±262","77,734","(X)","369,436","±459","369,436","(X)","34,967","±343","34,967","(X)","37,202","±252","37,202","(X)","65,256","±280","65,256","(X)","74,496","±535","74,496","(X)","544,682","±470","544,682","(X)","112,002","±571","112,002","(X)","88,021","±605","88,021","(X)","72,581","±420","72,581","(X)","30,269","±177","30,269","(X)","37,549","±330","37,549","(X)","152,272","±1,078","152,272","(X)","815,538","±893","815,538","(X)"
"        Built 2014 or later","2,484","±749","4.8%","±1.4","616","±463","1.3%","±1.0","1,396","±538","1.8%","±0.7","1,041","±456","1.7%","±0.7","1,548","±475","4.8%","±1.5","1,033","±428","2.2%","±0.9","1,756","±534","0.9%","±0.3","3,747","±899","8.3%","±2.0","3,829","±843","3.1%","±0.7","522","±314","1.8%","±1.1","1,044","±580","1.5%","±0.8","3,576","±986","3.2%","±0.9","12,470","±1,830","4.8%","±0.7","930","±428","2.5%","±1.2","735","±398","1.7%","±0.9","3,812","±841","4.9%","±1.1","12,021","±1,789","3.3%","±0.5","505","±316","1.4%","±0.9","1,108","±420","3.0%","±1.1","1,707","±792","2.6%","±1.2","1,702","±582","2.3%","±0.8","16,997","±1,884","3.1%","±0.3","7,500","±1,085","6.7%","±1.0","1,116","±550","1.3%","±0.6","1,150","±471","1.6%","±0.6","679","±479","2.2%","±1.6","933","±449","2.5%","±1.2","4,788","±953","3.1%","±0.6","10,929","±1,612","1.3%","±0.2"
"        Built 2010 to 2013","1,355","±752","2.6%","±1.4","356","±257","0.7%","±0.5","717","±328","0.9%","±0.4","463","±291","0.8%","±0.5","463","±305","1.4%","±0.9","485","±267","1.0%","±0.6","909","±461","0.5%","±0.2","935","±393","2.1%","±0.9","1,289","±383","1.0%","±0.3","679","±281","2.3%","±1.0","520","±307","0.7%","±0.4","1,782","±797","1.6%","±0.7","5,084","±1,212","2.0%","±0.5","387","±234","1.0%","±0.6","352","±269","0.8%","±0.6","1,317","±530","1.7%","±0.7","4,756","±1,187","1.3%","±0.3","545","±270","1.6%","±0.8","639","±397","1.7%","±1.1","513","±265","0.8%","±0.4","488","±353","0.7%","±0.5","7,085","±1,279","1.3%","±0.2","4,431","±1,083","4.0%","±1.0","593","±268","0.7%","±0.3","220","±168","0.3%","±0.2","102","±127","0.3%","±0.4","345","±282","0.9%","±0.8","3,263","±814","2.1%","±0.5","5,297","±1,200","0.6%","±0.1"
