"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"6800","219","1400000US26017285500","Census Tract 2855, Bay County, Michigan"
"7024","230","1400000US26017285600","Census Tract 2856, Bay County, Michigan"
"3737","220","1400000US26017285700","Census Tract 2857, Bay County, Michigan"
"6257","384","1400000US26017285800","Census Tract 2858, Bay County, Michigan"
"5058","369","1400000US26017285900","Census Tract 2859, Bay County, Michigan"
"2850","316","1400000US26017286000","Census Tract 2860, Bay County, Michigan"
"7542","19","1400000US26017286100","Census Tract 2861, Bay County, Michigan"
"5135","200","1400000US26017286200","Census Tract 2862, Bay County, Michigan"
"3637","214","1400000US26017286300","Census Tract 2863, Bay County, Michigan"
"2465","140","1400000US26017286400","Census Tract 2864, Bay County, Michigan"
"1924","239","1400000US26017286500","Census Tract 2865, Bay County, Michigan"
"4943","353","1400000US26017286600","Census Tract 2866, Bay County, Michigan"
"0","10","1400000US26017990000","Census Tract 9900, Bay County, Michigan"
"7291","299","1400000US26019000100","Census Tract 1, Benzie County, Michigan"
"3287","271","1400000US26019000200","Census Tract 2, Benzie County, Michigan"
"1798","149","1400000US26019000300","Census Tract 3, Benzie County, Michigan"
"1971","219","1400000US26019000400","Census Tract 4, Benzie County, Michigan"
"3205","189","1400000US26019000500","Census Tract 5, Benzie County, Michigan"
"0","10","1400000US26019990000","Census Tract 9900, Benzie County, Michigan"
"2041","281","1400000US26021000300","Census Tract 3, Berrien County, Michigan"
"2515","270","1400000US26021000400","Census Tract 4, Berrien County, Michigan"
"1627","321","1400000US26021000500","Census Tract 5, Berrien County, Michigan"
"3414","310","1400000US26021000600","Census Tract 6, Berrien County, Michigan"
"2709","206","1400000US26021000700","Census Tract 7, Berrien County, Michigan"
"5244","180","1400000US26021000800","Census Tract 8, Berrien County, Michigan"
"2047","191","1400000US26021000900","Census Tract 9, Berrien County, Michigan"
"1777","128","1400000US26021001000","Census Tract 10, Berrien County, Michigan"
"4149","176","1400000US26021001100","Census Tract 11, Berrien County, Michigan"
"2206","178","1400000US26021001300","Census Tract 13, Berrien County, Michigan"
"4480","229","1400000US26021001400","Census Tract 14, Berrien County, Michigan"
"3109","249","1400000US26021001500","Census Tract 15, Berrien County, Michigan"
"2256","149","1400000US26021001600","Census Tract 16, Berrien County, Michigan"
"4760","216","1400000US26021001700","Census Tract 17, Berrien County, Michigan"
"4766","34","1400000US26021001800","Census Tract 18, Berrien County, Michigan"
"1743","180","1400000US26021001900","Census Tract 19, Berrien County, Michigan"
"3354","269","1400000US26021002000","Census Tract 20, Berrien County, Michigan"
"2310","314","1400000US26021002100","Census Tract 21, Berrien County, Michigan"
"3050","332","1400000US26021002200","Census Tract 22, Berrien County, Michigan"
"2022","239","1400000US26021002300","Census Tract 23, Berrien County, Michigan"
"1876","177","1400000US26021002400","Census Tract 24, Berrien County, Michigan"
"2201","215","1400000US26021002500","Census Tract 25, Berrien County, Michigan"
"3601","15","1400000US26021010100","Census Tract 101, Berrien County, Michigan"
"6635","278","1400000US26021010200","Census Tract 102, Berrien County, Michigan"
"4772","243","1400000US26021010300","Census Tract 103, Berrien County, Michigan"
"2809","46","1400000US26021010400","Census Tract 104, Berrien County, Michigan"
"2331","200","1400000US26021010500","Census Tract 105, Berrien County, Michigan"
"5043","19","1400000US26021010600","Census Tract 106, Berrien County, Michigan"
"2761","18","1400000US26021011000","Census Tract 110, Berrien County, Michigan"
"5497","258","1400000US26021011100","Census Tract 111, Berrien County, Michigan"
"3106","14","1400000US26021011200","Census Tract 112, Berrien County, Michigan"
"4014","268","1400000US26021011300","Census Tract 113, Berrien County, Michigan"
"2417","181","1400000US26021011400","Census Tract 114, Berrien County, Michigan"
"1460","116","1400000US26021011500","Census Tract 115, Berrien County, Michigan"
"1968","186","1400000US26021011600","Census Tract 116, Berrien County, Michigan"
"2519","203","1400000US26021020100","Census Tract 201, Berrien County, Michigan"
"5334","204","1400000US26021020200","Census Tract 202, Berrien County, Michigan"
"2628","28","1400000US26021020300","Census Tract 203, Berrien County, Michigan"
"3815","278","1400000US26021020400","Census Tract 204, Berrien County, Michigan"
"3043","295","1400000US26021020500","Census Tract 205, Berrien County, Michigan"
"3243","234","1400000US26021020600","Census Tract 206, Berrien County, Michigan"
"2928","239","1400000US26021020700","Census Tract 207, Berrien County, Michigan"
"3250","293","1400000US26021020900","Census Tract 209, Berrien County, Michigan"
"5319","370","1400000US26021021000","Census Tract 210, Berrien County, Michigan"
"1986","177","1400000US26021021100","Census Tract 211, Berrien County, Michigan"
"1601","186","1400000US26021021200","Census Tract 212, Berrien County, Michigan"
"5088","256","1400000US26021021300","Census Tract 213, Berrien County, Michigan"
"3983","255","1400000US26021021400","Census Tract 214, Berrien County, Michigan"
"0","10","1400000US26021990000","Census Tract 9900, Berrien County, Michigan"
"3683","184","1400000US26023950100","Census Tract 9501, Branch County, Michigan"
"3723","232","1400000US26023950200","Census Tract 9502, Branch County, Michigan"
"3693","210","1400000US26023950300","Census Tract 9503, Branch County, Michigan"
"4472","301","1400000US26023950800","Census Tract 9508, Branch County, Michigan"
"2139","138","1400000US26023950900","Census Tract 9509, Branch County, Michigan"
"2371","164","1400000US26023951000","Census Tract 9510, Branch County, Michigan"
"3134","322","1400000US26023951100","Census Tract 9511, Branch County, Michigan"
"4371","244","1400000US26023951200","Census Tract 9512, Branch County, Michigan"
"5693","325","1400000US26023951300","Census Tract 9513, Branch County, Michigan"
"4165","315","1400000US26023951400","Census Tract 9514, Branch County, Michigan"
"2745","226","1400000US26023951500","Census Tract 9515, Branch County, Michigan"
"3395","256","1400000US26023951600","Census Tract 9516, Branch County, Michigan"
"3614","479","1400000US26025000200","Census Tract 2, Calhoun County, Michigan"
"1995","299","1400000US26025000300","Census Tract 3, Calhoun County, Michigan"
"3370","424","1400000US26025000500","Census Tract 5, Calhoun County, Michigan"
"3066","297","1400000US26025000600","Census Tract 6, Calhoun County, Michigan"
"2767","393","1400000US26025000700","Census Tract 7, Calhoun County, Michigan"
"2833","563","1400000US26025000800","Census Tract 8, Calhoun County, Michigan"
"3409","251","1400000US26025000900","Census Tract 9, Calhoun County, Michigan"
"4048","362","1400000US26025001000","Census Tract 10, Calhoun County, Michigan"
"4071","344","1400000US26025001100","Census Tract 11, Calhoun County, Michigan"
"2283","217","1400000US26025001200","Census Tract 12, Calhoun County, Michigan"
"3952","225","1400000US26025001300","Census Tract 13, Calhoun County, Michigan"
"4269","393","1400000US26025001400","Census Tract 14, Calhoun County, Michigan"
"5217","430","1400000US26025001500","Census Tract 15, Calhoun County, Michigan"
"2745","281","1400000US26025001600","Census Tract 16, Calhoun County, Michigan"
"4542","259","1400000US26025001700","Census Tract 17, Calhoun County, Michigan"
"5863","425","1400000US26025001800","Census Tract 18, Calhoun County, Michigan"
"4210","281","1400000US26025001900","Census Tract 19, Calhoun County, Michigan"
"5095","271","1400000US26025002000","Census Tract 20, Calhoun County, Michigan"
"1111","147","1400000US26025002100","Census Tract 21, Calhoun County, Michigan"
"3247","205","1400000US26025002200","Census Tract 22, Calhoun County, Michigan"
"3862","216","1400000US26025002300","Census Tract 23, Calhoun County, Michigan"
"2953","269","1400000US26025002400","Census Tract 24, Calhoun County, Michigan"
"3925","281","1400000US26025002500","Census Tract 25, Calhoun County, Michigan"
"2076","190","1400000US26025002600","Census Tract 26, Calhoun County, Michigan"
"6260","22","1400000US26025002700","Census Tract 27, Calhoun County, Michigan"
"4316","238","1400000US26025002800","Census Tract 28, Calhoun County, Michigan"
"3187","159","1400000US26025002900","Census Tract 29, Calhoun County, Michigan"
"2140","160","1400000US26025003000","Census Tract 30, Calhoun County, Michigan"
"2985","22","1400000US26025003100","Census Tract 31, Calhoun County, Michigan"
"2286","147","1400000US26025003200","Census Tract 32, Calhoun County, Michigan"
"2210","198","1400000US26025003300","Census Tract 33, Calhoun County, Michigan"
"2120","213","1400000US26025003400","Census Tract 34, Calhoun County, Michigan"
"2754","257","1400000US26025003500","Census Tract 35, Calhoun County, Michigan"
"2092","267","1400000US26025003600","Census Tract 36, Calhoun County, Michigan"
"4605","193","1400000US26025003700","Census Tract 37, Calhoun County, Michigan"
"4239","186","1400000US26025003800","Census Tract 38, Calhoun County, Michigan"
"4649","242","1400000US26025003900","Census Tract 39, Calhoun County, Michigan"
"3984","226","1400000US26025004000","Census Tract 40, Calhoun County, Michigan"
"2123","252","1400000US26025004100","Census Tract 41, Calhoun County, Michigan"
"3783","19","1400000US26027001000","Census Tract 10, Cass County, Michigan"
"2930","27","1400000US26027001100","Census Tract 11, Cass County, Michigan"
"2987","242","1400000US26027001200","Census Tract 12, Cass County, Michigan"
"3863","249","1400000US26027001500","Census Tract 15, Cass County, Michigan"
"3497","169","1400000US26027001600","Census Tract 16, Cass County, Michigan"
"5185","263","1400000US26027001700","Census Tract 17, Cass County, Michigan"
