,GEOID20,VTD,COUNTY_FIPS,total_pop,total_pop_log,turnout2018_registered,2020_vote_share_diff,pop_perc_one_race,pop_perc_two_races,pop_perc_three_or_more_races,pop_perc_white,pop_perc_black,pop_perc_am_indian,pop_perc_asian,pop_perc_pac_islander,c_pop_pct_urban,c_pop_perc_change,c_pop_perc_migration,c_gini_index,c_perc_owner_occupied_house,total2020_voted,turnout2020_registered
23,26021021048,21048,21,2177,7.685703061,0.490970655,509,0.926504364,0.073495636,0.005512173,0.811208085,0.032613689,0.012402389,0.003215434,0,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,1239,0.699209932
24,26021021057,21057,21,3207,8.0730912,0.661095997,234,0.934830059,0.065169941,0.002182725,0.861241035,0.023074524,0.002182725,0.033052697,0,0.671430302,-0.004586944,0.11045517,0.4842,0.600567465,2141,0.832102604
25,26023023018,23018,23,2161,7.678326357,0.577732997,675.5,0.968070338,0.031929662,0.000462749,0.946321148,0.004164739,0.007866728,0.005552985,0,0.372966761,-0.006160546,0.101332977,0.4143,0.588801768,1478,0.744584383
26,26025025035,25035,25,1903,7.551186867,0.598639456,537,0.961639517,0.038360483,0.000525486,0.949553337,0.006305833,0.001576458,0.00262743,0,0.690229606,-0.003456428,0.102479339,0.4437,0.623891056,1136,0.772789116
27,26025025041,25041,25,2964,7.994294986,0.422393822,123.9,0.913967611,0.086032389,0.003711201,0.80634278,0.060728745,0.007422402,0.026990553,0,0.690229606,-0.003456428,0.102479339,0.4437,0.623891056,1369,0.660714286
28,26025025044,25044,25,2896,7.971085754,0.426195426,623,0.963052486,0.036947514,0.001035912,0.949585635,0.003798343,0.003453039,0.001035912,0.000690608,0.690229606,-0.003456428,0.102479339,0.4437,0.623891056,1262,0.655925156
29,26027027012,27012,27,3128,8.048149102,0.578989899,760,0.954923274,0.045076726,0.001278772,0.914641944,0.014066496,0.003516624,0.015345269,0,0.288183887,0.005208141,0.12725581,0.4544,0.625717566,1893,0.764848485
30,26027027018,27018,27,2179,7.686621335,0.516778523,522,0.956860945,0.043139055,0.002753557,0.93620927,0.004130335,0.005048187,0.003212483,0,0.288183887,0.005208141,0.12725581,0.4544,0.625717566,1266,0.708053691
31,26027027014,27014,27,3572,8.180880942,0.527189939,501.6,0.938969765,0.061030235,0.000839866,0.910414334,0.010078387,0.003639418,0.005879059,0,0.288183887,0.005208141,0.12725581,0.4544,0.625717566,1523,0.660450997
32,26027027015,27015,27,3332,8.111328003,0.527435134,603,0.947779112,0.052220888,0.00210084,0.933673469,0.0015006,0.003301321,0.005402161,0,0.288183887,0.005208141,0.12725581,0.4544,0.625717566,1652,0.702679711
33,26029029001,29001,29,1288,7.160845907,0.665802113,117,0.966614907,0.033385093,0.001552795,0.939440994,0.001552795,0.008540373,0.00621118,0,0.295965162,-0.001183748,0.113072849,0.464,0.524503687,882,0.847262248
34,26031031006,31006,31,3927,8.275631055,0.418710866,243.1,0.919022154,0.080977846,0.004074357,0.853577795,0.009676598,0.043799338,0.005602241,0.001527884,0.172721016,0.00559556,0.139489425,0.4211,0.502092597,1723,0.634622468
35,26031031018,31018,31,1195,7.085901464,0.699222222,326.7,0.934728033,0.065271967,0.006694561,0.914644351,0.00083682,0.016736402,0,0,0.172721016,0.00559556,0.139489425,0.4211,0.502092597,650,0.722222222
36,26031031019,31019,31,3080,8.032684876,0.645371775,594.3,0.94512987,0.05487013,0.004545455,0.913311688,0.000324675,0.022727273,0.00487013,0,0.172721016,0.00559556,0.139489425,0.4211,0.502092597,2042,0.774658574
37,26035035010,35010,35,2150,7.673223121,0.510309278,226,0.95627907,0.04372093,0.002325581,0.922790698,0.017209302,0.009767442,0.002790698,0,0.293571752,0.007817131,0.136310604,0.4536,0.440662962,895,0.659057437
38,26037037016,37016,37,3626,8.195885391,0.401077199,68.1,0.942636514,0.057363486,0.00137893,0.606177606,0.145063431,0.00551572,0.159680088,0,0.470735719,0.003051032,0.131856327,0.4193,0.751846795,1102,0.659485338
39,26037037024,37024,37,2520,7.832014181,0.671392786,379.1,0.952380952,0.047619048,0.001587302,0.927380952,0.00515873,0.002380952,0.011507937,0,0.470735719,0.003051032,0.131856327,0.4193,0.751846795,1648,0.825651303
40,26037037034,37034,37,2444,7.80139132,0.69363167,975,0.975040917,0.024959083,0.000818331,0.955400982,0.004091653,0.004091653,0.000409165,0,0.470735719,0.003051032,0.131856327,0.4193,0.751846795,1531,0.878370625
41,26041041015,41015,41,2019,7.610357618,0.618938927,363.1,0.965824666,0.034175334,0.001485884,0.945517583,0,0.015354136,0.002476474,0,0.562464593,-0.004552268,0.078015338,0.4362,0.622788915,1175,0.724861197
42,26043043002,43002,43,1678,7.425357887,0.624188791,507,0.967818832,0.032181168,0.000595948,0.952324195,0.001191895,0.006555423,0.004171633,0.000595948,0.672347906,-0.005149573,0.066096273,0.4356,0.612508884,1033,0.76179941
43,26045045010,45010,45,1818,7.505492275,0.888259109,189,0.926842684,0.073157316,0.00110011,0.770627063,0.097909791,0.00550055,0.03520352,0,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,1301,0.877867746
44,26045045021,45021,45,2395,7.78113851,0.742524917,118,0.951148225,0.048851775,0.002505219,0.832150313,0.061795407,0.001670146,0.047599165,0.000835073,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,1568,0.868217054
45,26045045032,45032,45,2209,7.700295203,0.288414634,265.9,0.934812132,0.065187868,0.003168855,0.899049344,0.013580806,0.003168855,0.007243096,0,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,1410,0.781596452
46,26045045026,45026,45,2171,7.68294317,0.404987981,401,0.944725933,0.055274067,0.004606172,0.916628282,0.010133579,0.000460617,0.008751727,0,0.620282297,0.003937911,0.157508587,0.4141,0.693156979,1362,0.818509615
